mpid	log($PF_p$)	$\Delta{\bar N_{\rm{U}}}$	${\bar N_{\rm{U}}}$	${\bar N_{{\rm{pU}}}}$	${L_0}$	${L_2}$	$SG$	$\bar N$	${E_{\rm{g}}}$	${\bar T_{\rm{M}}}$	 $\bar N_{{\rm{pU}}}$	${\chi ^{\max }}$	${\chi _{{\rm{range}}}}$
mp-696138	-3.419083003	0.608	1.76	1.36	4	0.631189354	1	11.36	2.3644	441.7288	0.528301887	2.58	1.6
mp-721300	-3.477564895	1.3	2.4	2.3	5	0.578791845	1	8.2	5.0985	735.881	0.568181818	3.44	2.44
mp-775785	-2.568637362	2.56	4.8	1.6	3	0.6	1	33.2	1.9855	1038.58	0.192307692	3.44	2.14
mp-625788	-2.449772503	1.836734694	2.571428571	0.857142857	3	0.622699849	1	12	3.9861	199.9185714	0.5	3.44	2.34
mp-676002	-3.72817465	1.84	1.8	0.7	3	0.734846923	1	23.4	6.2183	357.85	0.603448276	3.98	3.09
mp-680944	-3.288198674	2.040816327	3.428571429	1.428571429	2	0.769309258	1	17.42857143	1.6157	824.8571429	0.5	3.44	1.84
mp-753845	-2.209012017	0.5	1.5	1	3	0.612372436	1	12	0.2533	480.265	0.333333333	3.44	2.46
mp-780237	-3.42482024	0.5625	1.75	1.375	4	0.579601156	1	11.875	0.7739	406.71125	0.404255319	3.44	2.46
mp-759207	-2.917217142	0.117647059	2	1.941176471	4	0.732347035	1	18	1.2294	246.0617647	0.463235294	3.44	2.46
mp-691119	-2.943097816	0.568047337	2.461538462	2.307692308	3	0.712894296	1	35.79487179	2.6379	303.4051282	0.248201439	3.44	1.42
mp-779739	-2.716700354	2.56	4.8	1.6	3	0.6	1	33.2	2.0925	1038.58	0.192307692	3.44	2.14
mp-780274	-2.578397225	2.56	4.8	1.6	3	0.6	1	33.2	1.9786	1038.58	0.192307692	3.44	2.14
mp-779979	-2.521434514	2.56	4.8	1.6	3	0.6	1	33.2	1.9602	1038.58	0.192307692	3.44	2.14
mp-779738	-2.643975482	2.56	4.8	1.6	3	0.6	1	33.2	2.0581	1038.58	0.192307692	3.44	2.14
mp-780230	-2.482805026	2.56	4.8	1.6	3	0.6	1	33.2	2.0011	1038.58	0.192307692	3.44	2.14
mp-774910	-2.943097816	0.117647059	2	1.941176471	4	0.732347035	1	18	1.2182	246.0617647	0.463235294	3.44	2.46
mp-684617	-2.485453177	0.48	2.4	2.4	2	0.721110255	1	38	0.9692	250.64	0.236842105	3.44	1.42
mp-778010	-2.679855169	2.444444444	4	1.444444444	4	0.618640485	1	27.77777778	2.0492	901.1166667	0.302631579	3.44	2.34
mp-760664	-3.281504124	0.4	2	1.8	4	0.64807407	1	11	0.867	277.486	0.517241379	3.44	2.46
mp-779588	-3.202737308	0.5625	1.75	1.375	4	0.58630197	1	13.5	0.6551	463.21625	0.365384615	3.44	2.46
mp-776246	-2.540608568	2.56	4.8	1.6	3	0.6	1	20.4	1.5624	887.38	0.416666667	3.44	2.11
mp-775786	-2.575119506	2.56	4.8	1.6	3	0.6	1	33.2	2.0242	1038.58	0.192307692	3.44	2.14
mp-532676	-4.20906072	0.484897959	2.171428571	2.142857143	5	0.713141941	1	12.85714286	2.9523	241.6085714	0.488095238	3.44	2.46
mp-779863	-2.568637362	2.56	4.8	1.6	3	0.6	1	33.2	2.057	1038.58	0.192307692	3.44	2.14
mp-776214	-2.519994064	2.56	4.8	1.6	3	0.6	1	33.2	2.0381	1038.58	0.192307692	3.44	2.14
mp-780060	-2.701148452	2.56	4.8	1.6	3	0.6	1	33.2	2.0673	1038.58	0.192307692	3.44	2.14
mp-779973	-2.515701158	2.56	4.8	1.6	3	0.6	1	33.2	2.0603	1038.58	0.192307692	3.44	2.14
mp-775861	-2.576755273	2.56	4.8	1.6	3	0.6	1	20.4	1.6757	887.38	0.416666667	3.44	2.11
mp-775824	-2.677782153	2.56	4.8	1.6	3	0.6	1	20.4	1.6253	887.38	0.416666667	3.44	2.11
mp-675681	-5.800519085	0.319444444	0.958333333	0.708333333	3	0.738335214	1	24.20833333	6.4912	425.8125	0.50295858	3.98	3.09
mp-775843	-2.684031124	2.56	4.8	1.6	3	0.6	1	20.4	1.685	887.38	0.416666667	3.44	2.11
mp-776362	-2.446117822	2.56	4.8	1.6	3	0.6	1	20.4	1.5773	887.38	0.416666667	3.44	2.11
mp-37436	-3.197915537	0.571428571	1.571428571	1.071428571	3	0.662401321	1	8.571428571	3.4428	314.8864286	0.465517241	3.44	2.46
mp-766238	-2.459671401	2.56	4.8	1.6	3	0.6	1	20.4	1.6015	887.38	0.416666667	3.44	2.11
mp-625860	-4.857203965	0.49382716	1.333333333	0.740740741	3	0.699794208	1	4.962962963	3.6998	67.48740741	0.512820513	3.44	2.49
mp-695601	-4.829943743	1.096809086	2.534883721	2.38372093	6	0.601737164	1	9.395348837	3.6089	429.392907	0.594387755	3.44	2.51
mp-556783	-3.231367078	0.666666667	2	1.666666667	4	0.577350269	1	7.333333333	4.5023	801.9933333	0.583333333	3.44	2.51
mp-779864	-2.536108056	2.56	4.8	1.6	3	0.6	1	33.2	1.9892	1038.58	0.192307692	3.44	2.14
mp-775783	-2.609066129	2.56	4.8	1.6	3	0.6	1	33.2	2.0671	1038.58	0.192307692	3.44	2.14
mp-763609	-2.126098808	1.274238227	2.578947368	1.052631579	3	0.624965373	1	11.42105263	0.7011	524.0926316	0.404040404	3.44	2.46
mp-759307	-3.2848385	2.24	3.6	1.4	3	0.734846923	1	16	2.0465	782.46	0.5	3.44	1.9
mp-42036	-4.211174319	2.039697543	3.782608696	2.47826087	5	0.592964422	1	16.13043478	3.3788	528.0965217	0.520661157	3.44	2.3
mp-677067	-6.394694954	1.08030934	2.487804878	2.487804878	5	0.630854495	1	10.97560976	3.6874	542.275122	0.605769231	3.44	2.44
mp-706524	-3.630797135	2.8125	3.375	1.125	3	0.643476884	1	25.875	2.4848	525.95	0.5	3.44	2.49
mp-757800	-3.316059163	0.666666667	2	1.666666667	4	0.577350269	1	10.33333333	1.5934	966.4766667	0.411764706	3.44	2.46
mp-758861	-4.405684812	0	1	0.5	3	0.637377439	1	11.5	2.6448	351.25	0.476190476	3.98	3
mp-756755	-3.048665882	1.379501385	2.631578947	1.368421053	4	0.671955018	1	14.73684211	2.1375	578.4910526	0.490566038	3.44	2.46
mp-695043	-4.636519644	0.449464923	1.724137931	1.413793103	5	0.60418674	1	11.24137931	3.7669	141.1127586	0.5	3.44	2.62
mp-773100	-2.563838467	2.5625	3.875	1.625	3	0.684653197	1	29.625	0.8308	400.55	0.353846154	3.44	2.34
mp-761922	-2.829740339	0.560553633	2.235294118	1.764705882	4	0.732347035	1	17.41176471	1.4654	354.6629412	0.476190476	3.44	2.46
mp-36779	-3.214675149	0.444444444	2.666666667	2.666666667	3	0.577350269	1	10	4.9202	145.05	0.625	3.44	1.25
mp-677203	-4.104616133	1.041420118	1.846153846	1.230769231	5	0.659228725	1	3.897435897	4.0879	814.3471795	0.396226415	3.44	1.24
mp-776229	-2.50307132	2.56	4.8	1.6	3	0.6	1	13.2	1.0034	812.58	0.416666667	3.44	1.9
mp-625909	-3.126102466	0.595041322	1.454545455	1.090909091	3	0.661828172	1	9.818181818	2.7803	125.8945455	0.571428571	3.44	2.55
mp-669521	-2.737550571	1.145557656	2.608695652	1.695652174	4	0.688825196	1	20.34782609	2.3494	527.5756522	0.460227273	3.44	1.84
mp-34580	-3.099090751	0.885416667	1.625	1.375	3	0.738335214	1	28.54166667	5.1254	359.2475	0.340659341	3.98	2.74
mp-675757	-2.737550571	0.565096953	2.105263158	2.105263158	3	0.667819871	1	20.94736842	1.802	481.2	0.3875	3.44	2.55
mp-775961	-2.826815772	1.12	2.45	1.4	5	0.644204936	1	16.55	1.0002	594.322	0.364963504	3.44	2.46
mp-686617	-3.32331279	2.354006338	4.468085106	2.340425532	5	0.508417155	1	20.17021277	2.9399	671.2053191	0.455284553	3.44	2.3
mp-775628	-3.764489228	1.719008264	2.818181818	1.363636364	4	0.613215344	1	17.45454545	3.121	377.8459091	0.465517241	3.44	2.46
mp-776334	-2.365523435	2.56	4.8	1.6	3	0.6	1	13.2	0.9615	812.58	0.416666667	3.44	1.9
mp-677028	-2.653648395	0.64	1.4	1.2	3	0.663324958	1	29.4	1.4753	203.472	0.352941176	3.98	3.16
mp-775820	-2.286510045	2.56	4.8	1.6	3	0.6	1	13.2	0.9737	812.58	0.416666667	3.44	1.9
mp-673834	-2.718968225	1.155555556	1.733333333	1.733333333	3	0.642910051	1	23.86666667	1.1193	695.596	0.236111111	2.55	1.24
mp-686347	-3.233592359	1.120225694	2.270833333	2.270833333	5	0.631047135	1	11.33333333	1.0466	521.701875	0.571428571	3.44	2.44
mp-695305	-6.19997064	0.691358025	1.777777778	1.666666667	5	0.509175077	1	9.333333333	5.8787	545.2366667	0.66	3.98	3.05
mp-696871	-2.468521977	2.4	4	2.2	3	0.663324958	1	18.8	3.4705	458.174	0.541666667	3.44	2.34
mp-690136	-3.465982783	0.819750149	1.609756098	1.195121951	4	0.598928252	1	5.853658537	2.429	186.882439	0.522058824	3.44	2.13
mp-778616	-2.563838467	2	3	1.25	3	0.612372436	1	12	1.4877	586.525	0.541666667	3.98	2.35
mp-753883	-2.610835157	2.666666667	4	1.6	3	0.669991708	1	31.06666667	2.5528	423.6	0.338709677	3.44	2.34
mp-676694	-3.004806782	1.68	2.8	1.2	3	0.663324958	1	13.6	2.9835	673.618	0.5	3.44	2.46
mp-554765	-3.258066429	0.48	1.2	1.2	3	0.813770374	1	17.73333333	4.0411	229.9706667	0.568965517	3.98	3.09
mp-676400	-2.045757829	1	3	3	3	0.612372436	1	26	1.6843	187.4125	0.272727273	3.44	1.82
mp-676693	-2.469801199	1.111111111	2.666666667	2.333333333	3	0.577350269	1	10.66666667	1.2795	1407.526667	0.5	3.04	2.22
mp-757403	-2.747148667	0.499314129	1.481481481	0.962962963	3	0.605190172	1	14.22222222	0.4387	474.5511111	0.320987654	3.44	2.51
mp-675069	-3.019545288	1.68	2.8	1.2	3	0.663324958	1	13.6	3.0231	673.618	0.5	3.44	2.46
mp-626552	-3.857007071	0.49382716	1.333333333	0.740740741	3	0.699794208	1	4.296296296	4.0045	69.89481481	0.512820513	3.44	2.44
mp-26835	-2.567031831	0.457063712	2.210526316	2.131578947	4	0.668856054	1	18.57894737	3.954	192.1597368	0.400621118	3.44	2.46
mp-694958	-3.860142944	0.981928166	2.626086957	2.565217391	5	0.67931913	1	9.652173913	3.24	542.7224348	0.612847222	3.44	2.51
mp-686588	-6.443697499	1.087240528	2.578313253	2.445783133	5	0.625462523	1	10.31325301	2.5018	468.0810843	0.596354167	3.44	2.62
mp-675033	-2.432974458	1.432506887	3.03030303	2.96969697	3	0.683667526	1	44.06060606	0.7558	601.070303	0.182572614	2.1	0.29
mp-672695	-3.166220083	0.666666667	2	1.666666667	4	0.577350269	1	16	1.5688	926.4766667	0.411764706	3.44	2.62
mp-626564	-3.982995893	0.49382716	1.333333333	0.740740741	3	0.699794208	1	4.296296296	3.8998	69.89481481	0.512820513	3.44	2.44
mp-768326	-6.52724355	0.757201646	2.296296296	2.148148148	5	0.633971954	1	11.55555556	1.1476	705.5851852	0.533333333	3.44	2.51
mp-625208	-2.782517898	0.497777778	1.466666667	0.8	3	0.669991708	1	8.933333333	1.9343	165.4853333	0.352941176	3.44	1.24
mp-626279	-3.974722816	0.49382716	1.333333333	0.740740741	3	0.699794208	1	4.296296296	4.0088	69.89481481	0.512820513	3.44	2.44
mp-626563	-4.987458027	0.49382716	1.333333333	0.740740741	3	0.699794208	1	4.296296296	3.6705	69.89481481	0.512820513	3.44	2.44
mp-759766	-3.459679286	0.516923077	2.430769231	2.430769231	3	0.712857405	1	36.8	1.8876	278.3876923	0.241164241	3.44	1.42
mp-625112	-2.793176012	0.497777778	1.466666667	0.8	3	0.669991708	1	8.933333333	1.5863	165.4853333	0.352941176	3.44	1.24
mp-720205	-3.110142197	0.934911243	2.923076923	2.846153846	6	0.514739997	1	16.30769231	1.6093	695.5110256	0.426470588	3.44	2.49
mp-685043	-2.500313879	2	3	3	2	0.707106781	1	20	1.4283	1306.9	0.3	2.96	0.92
mp-33319	-2.374688269	4.08	4.2	0.9	3	0.678232998	1	23.8	3.3524	399.605	0.532258065	3.98	2.85
mp-752443	-3.742338221	0	2	2	3	0.768132606	1	12	3.3378	160.1736842	0.612903226	3.44	1.34
mp-695592	-3.18709132	0.988221775	2.915254237	2.915254237	4	0.588357795	1	11.3559322	1.8155	687.6833898	0.508333333	3.04	2.04
mp-772428	-2.910097361	0.560553633	2.235294118	1.764705882	4	0.732347035	1	10	1.2947	262.3158824	0.625	3.44	2.46
mp-695259	-2.576755273	1.617998163	2.787878788	1.545454545	5	0.667355017	1	18.24242424	2.3328	515.7827273	0.46969697	3.44	2.55
mp-677550	-6.832682665	1.149815735	2.607594937	2.582278481	5	0.648046873	1	11.41772152	2.194	533.1759494	0.564356436	3.44	2.44
mp-675625	-3.325145286	0.4	2	1.8	3	0.663324958	1	10	3.0749	112.796	0.625	3.44	2.62
mp-626340	-4.014604965	0.49382716	1.333333333	0.740740741	3	0.699794208	1	5.62962963	3.8442	65.63555556	0.512820513	3.44	2.55
mp-757127	-2.447332636	0.792899408	2.461538462	2.384615385	4	0.666173388	1	14.76923077	3.0697	499.8069231	0.455555556	3.44	2.46
mp-775170	-2.903092419	1.306122449	2.714285714	1.714285714	5	0.614451805	1	13	2.0451	538.7878571	0.45	3.44	2.46
mp-686614	-2.642066486	1.537981859	2.261904762	1.321428571	5	0.643738373	1	16.47619048	1.676	501.4458333	0.310509554	3.44	1.94
mp-675881	-3.787831047	0.555555556	1.333333333	1.166666667	3	0.707106781	1	26	3.4802	178.4766667	0.396551724	3.98	3.16
mp-674421	-3.507249386	1.814744802	2.391304348	2.217391304	3	0.616410734	1	37.52173913	0.7792	462.4165217	0.18694362	3.98	2.36
mp-626337	-3.621614819	0.49382716	1.333333333	0.740740741	3	0.699794208	1	4.962962963	3.6536	67.48740741	0.512820513	3.44	2.49
mp-531130	-2.250264225	0.516923077	2.430769231	2.430769231	3	0.712857405	1	37.96923077	2.1278	251.1415385	0.235294118	3.44	1.82
mp-675250	-3.607315355	0.64	1.4	1.3	3	0.734846923	1	24.8	3.5787	179.983	0.37962963	3.98	3.16
mp-761126	-2.402305582	0.165289256	1.090909091	0.727272727	3	0.661828172	1	16.18181818	0.1689	527.8981818	0.369565217	3.98	2.08
mp-561974	-2.301030604	2.637119114	4.421052632	1.473684211	3	0.597779826	1	19.57894737	2.7613	820.3473684	0.458333333	3.44	2.11
mp-676923	-3.019545288	0.565096953	2.105263158	2.105263158	3	0.667819871	1	35.89473684	1.8172	266.1915789	0.234848485	3.44	1.75
mp-627349	-2.649753339	0.979591837	2.285714286	2	3	0.589015089	1	7.714285714	1.3704	509.4885714	0.571428571	3.44	1.54
mp-767433	-2.962576291	2.024691358	2.444444444	0.777777778	4	0.618640485	1	11.33333333	1.7404	571.3322222	0.557692308	3.98	3
mp-626562	-3.348728772	0.49382716	1.333333333	0.740740741	3	0.699794208	1	4.296296296	3.9008	69.89481481	0.512820513	3.44	2.44
mp-767722	-2.551294762	0.77	2.55	2	4	0.731436942	1	11.05	1.2461	301.52	0.581196581	3.44	1.81
mp-626819	-3.134900172	0.666666667	2	1.111111111	3	0.657342198	1	13.11111111	3.8487	419.4477778	0.37037037	3.44	1.54
mp-561052	-2.853874135	1.126984127	2.333333333	1.714285714	7	0.641533028	1	14.95238095	2.1487	491.1728571	0.576923077	3.44	2.55
mp-760205	-3.962601393	0.57964014	1.648351648	1.648351648	3	0.694397683	1	17.84615385	4.9752	279.6369231	0.622406639	3.44	2.55
mp-707160	-2.638273486	0.75	1.5	1.25	3	0.612372436	1	6.5	1.5844	46.015	0.65	3.98	1.78
mp-690607	-2.917217142	0.495867769	2.090909091	1.909090909	5	0.61991735	1	11.81818182	1.6946	201.68	0.568965517	3.44	2.62
mp-851270	-3.310697358	1.657894737	2.947368421	1.263157895	4	0.668079067	1	11.34210526	0.4029	572.9290789	0.472906404	3.44	2.46
mp-686836	-1.749580169	1.63	3.1	2	5	0.644204936	1	27	2.379	571.202	0.28	3.44	2.13
mp-532626	-2.285670827	0.681799308	3.541176471	3.423529412	5	0.641257415	1	10.55294118	2.9631	711.8408235	0.550387597	3.44	2.3
mp-707276	-3.593471742	0.598639456	1.523809524	1.095238095	6	0.523809524	1	7.523809524	4.2994	85.6052381	0.532608696	3.98	1.88
mp-769549	-3.36452329	0.641632653	2.257142857	1.714285714	5	0.713141941	1	11.22857143	2.2921	323.7637143	0.568720379	3.44	2.46
mp-676339	-4.049669229	1.827160494	2.888888889	1.333333333	3	0.711458249	1	27.77777778	3.619	878.7555556	0.315789474	3.44	2.55
