MPID	log($PF_n$)	${\bar N_{{\rm{dU}}}}$	$N_{{\rm{dU}}}^{\max }$	$N_{\rm{U}}^{\max }$	$E_{\rm{g}}$	$\Delta {\bar r_{{\rm{cov}}}}$	$N_{\rm{M}}^{\max }$	${f_{\rm{p}}}$	$SG$	$T_{\rm{M}}^{\max }$	$\bar \chi $	${L_0}$	$r_{{\rm cov}} ^{\max }$
mp-627442	-2.033858596	0.0	0	4	2.6785	22.3125	92	0.417322835	1	1211.4	2.766458333	3	120
mp-626094	-2.0357407	0.0	0	5	4.3393	23.87755102	92	0.541666667	1	933.47	2.647142857	3	121
mp-695365	-2.0357407	0.0	0	5	3.8741	21.88347206	87	0.5546875	1	1687.0	2.494827586	5	128
mp-677248	-2.03668482	0.0	0	5	3.7826	31.73553719	96	0.463414634	1	1115.0	2.535909091	5	176
mp-677121	-2.03715765	0.0	0	5	4.7135	32.0	87	0.6015625	1	1687.0	2.733846154	5	215
mp-625171	-2.03715765	0.0	0	2	4.2299	20.36363636	94	0.53125	1	171.6	2.625454545	3	102
mp-626690	-2.03715765	0.0	0	5	1.5132	42.88888889	92	0.147058824	1	577.0	2.42	3	145
mp-627944	-2.037630996	0.0	0	4	5.1713	20.08888889	92	0.611111111	1	1687.0	2.864	3	111
mp-693753	-2.039529555	0.0	0	3	4.8172	42.97542533	93	0.597222222	1	1115.0	2.612608696	6	215
mp-626103	-2.040958942	0.0	0	5	4.9229	23.87755102	92	0.541666667	1	933.47	2.647142857	3	121
mp-556788	-2.040958942	0.0	0	4	4.8016	20.0	87	0.625	1	1687.0	2.926666667	2	111
mp-754833	-2.042872138	3.2	8	8	1.0658	50.72	87	0.192307692	1	2506.0	2.424	3	175
mp-752458	-2.044312587	2.25	9	9	4.0053	59.88	87	0.390243902	1	1799.0	2.552	3	192
mp-720222	-2.044312587	0.0	0	5	3.7823	32.87791495	88	0.6015625	1	1687.0	2.664444444	6	176
mp-773007	-2.045275546	0.0	0	3	0.2662	29.625	87	0.333333333	1	1357.77	2.64875	4	132
mp-24104	-2.045757829	0.0	0	5	4.8988	25.36094675	92	0.589285714	1	1687.0	2.682307692	5	128
mp-33932	-2.046240646	1.2	6	7	2.6175	34.16	92	0.5	1	2750.0	2.824	3	164
mp-24390	-2.047692329	0.0	0	3	5.6626	33.67346939	92	0.59375	1	1115.0	2.735714286	4	176
mp-686308	-2.048662821	0.0	0	5	0.8366	31.06035503	92	0.480392157	1	1687.0	2.630923077	5	166
mp-35397	-2.048662821	0.545454545	6	6	0.238	34.38016529	87	0.301587302	1	3695.0	3.083636364	3	162
mp-693340	-2.049148881	0.0	0	5	4.1775	21.53125	92	0.515625	1	933.47	2.786875	6	122
mp-677497	-2.051098581	0.0	0	5	3.8361	26.40625	87	0.6	1	1687.0	2.781875	5	195
mp-754500	-2.052566621	0.0	0	4	2.8497	23.08579882	92	0.540540541	1	505.08	2.896153846	5	139
mp-707941	-2.053057073	0.0	0	2	5.1609	36.5	92	0.625	1	388.36	2.690714286	4	166
mp-556994	-2.053057073	0.0	0	4	5.3836	20.0	87	0.625	1	1687.0	2.926666667	2	111
mp-556880	-2.053057073	0.0	0	4	5.0612	20.0	87	0.625	1	1687.0	2.926666667	2	111
mp-765476	-2.056011471	2.925	9	9	4.0053	59.7	87	0.432432432	1	1799.0	2.55275	3	192
mp-779539	-2.058986104	0.0	0	3	1.2147	28.875	87	0.452380952	1	1357.77	2.47625	4	132
mp-625501	-2.059483864	0.0	0	2	4.3045	24.8	92	0.5	1	370.87	2.528666667	3	166
mp-686697	-2.059982194	1.6	8	10	2.016	51.864	87	0.481927711	1	1941.0	2.5722	5	201
mp-765639	-2.063989556	1.125	9	9	3.8606	62.16	87	0.388663968	1	1799.0	2.53825	3	198
mp-756912	-2.064493087	0.0	0	5	2.972	24.22222222	87	0.382352941	1	2348.0	2.498333333	4	128
mp-776561	-2.065501902	0.0	0	4	0.3287	35.76530612	87	0.426315789	1	3823.0	2.718214286	5	166
mp-759095	-2.067019533	0.0	0	4	3.3194	23.08579882	92	0.540540541	1	505.08	2.896153846	5	139
mp-556985	-2.067019533	0.0	0	4	5.8343	20.0	87	0.625	1	1687.0	2.926666667	2	111
mp-778772	-2.067019533	0.0	0	3	0.7225	29.125	87	0.404255319	1	1357.77	2.53375	4	132
mp-626165	-2.06752659	0.0	0	2	3.8289	24.8	92	0.5	1	370.87	2.528666667	3	166
mp-558808	-2.068034241	0.0	0	5	4.9282	24.84	87	0.604166667	1	1687.0	2.703	4	128
mp-684723	-2.068034241	1.0	8	8	0.374	39.96	87	0.266666667	1	2750.0	2.8495	5	164
mp-693763	-2.069051325	0.0	0	5	4.8724	21.69554352	93	0.578125	1	933.47	2.757346939	6	121
mp-696736	-2.072116949	0.0	0	1	7.3021	37.65625	93	0.625	1	1560.0	2.9825	3	220
mp-720971	-2.072116949	0.0	0	5	4.3306	36.11992945	94	0.574324324	1	1687.0	2.56015873	5	176
mp-720112	-2.073657913	0.0	0	5	4.2338	29.54967111	87	0.598958333	1	1687.0	2.760649351	4	195
mp-626295	-2.073657913	0.0	0	2	3.7863	23.44032922	92	0.512820513	1	1000.0	2.610740741	3	215
mp-657176	-2.077794087	0.0	0	1	6.5464	37.55555556	93	0.434782609	1	1560.0	3.125	3	187
mp-696138	-2.078834314	0.0	0	4	2.3644	10.8352	88	0.528301887	1	1211.4	1.886	4	128
mp-721300	-2.079877039	0.0	0	5	5.0985	23.56	94	0.568181818	1	2348.0	2.708	5	176
mp-775785	-2.080922274	3.2	8	8	1.9855	50.72	87	0.192307692	1	2506.0	2.424	3	175
mp-625788	-2.083020321	1.285714286	9	9	3.9861	38.81632653	92	0.5	1	1193.0	2.574285714	3	207
mp-676002	-2.084073157	0.0	0	11	6.2183	64.68	93	0.603448276	1	1204.0	3.077	3	215
mp-680944	-2.084600534	1.714285714	6	7	1.6157	40.0	87	0.5	1	2750.0	2.914285714	2	164
mp-753845	-2.084600534	0.0	0	2	0.2533	32.0	87	0.333333333	1	1357.77	2.44	3	132
mp-780237	-2.084600534	0.0	0	3	0.7739	29.125	87	0.404255319	1	1357.77	2.53375	4	132
mp-759207	-2.085128552	0.0	0	3	1.2294	29.14878893	90	0.463235294	1	903.78	2.977058824	4	139
mp-691119	-2.085657213	0.128205128	5	6	2.6379	39.00591716	87	0.248201439	1	2896.0	2.897435897	3	154
mp-779739	-2.085657213	3.2	8	8	2.0925	50.72	87	0.192307692	1	2506.0	2.424	3	175
mp-780274	-2.086186519	3.2	8	8	1.9786	50.72	87	0.192307692	1	2506.0	2.424	3	175
mp-779979	-2.086186519	3.2	8	8	1.9602	50.72	87	0.192307692	1	2506.0	2.424	3	175
mp-779738	-2.088842764	3.2	8	8	2.0581	50.72	87	0.192307692	1	2506.0	2.424	3	175
mp-780230	-2.090444345	3.2	8	8	2.0011	50.72	87	0.192307692	1	2506.0	2.424	3	175
mp-774910	-2.090444345	0.0	0	3	1.2182	29.14878893	90	0.463235294	1	903.78	2.977058824	4	139
mp-684617	-2.090444345	0.0	0	3	0.9692	39.36	87	0.236842105	1	544.4	2.872	2	148
mp-778010	-2.091515356	2.555555556	9	9	2.0492	51.33333333	87	0.302631579	1	3290.0	2.704444444	4	207
mp-760664	-2.092589015	0.0	0	3	0.867	25.2	87	0.517241379	1	1357.77	2.79	4	132
mp-779588	-2.094204498	0.0	0	3	0.6551	29.375	87	0.365384615	1	1357.77	2.59125	4	132
mp-776246	-2.094744329	3.2	8	8	1.5624	50.72	87	0.416666667	1	2128.0	2.436	3	175
mp-775786	-2.095826011	3.2	8	8	2.0242	50.72	87	0.192307692	1	2506.0	2.424	3	175
mp-532676	-2.095826011	0.0	0	5	2.9523	24.52897959	89	0.488095238	1	933.47	2.999428571	5	141
mp-779863	-2.096367864	3.2	8	8	2.057	50.72	87	0.192307692	1	2506.0	2.424	3	175
mp-776214	-2.096367864	3.2	8	8	2.0381	50.72	87	0.192307692	1	2506.0	2.424	3	175
mp-780060	-2.096910393	3.2	8	8	2.0673	50.72	87	0.192307692	1	2506.0	2.424	3	175
mp-779973	-2.097453601	3.2	8	8	2.0603	50.72	87	0.192307692	1	2506.0	2.424	3	175
mp-775861	-2.097453601	3.2	8	8	1.6757	50.72	87	0.416666667	1	2128.0	2.436	3	175
mp-775824	-2.099087314	3.2	8	8	1.6253	50.72	87	0.416666667	1	2128.0	2.436	3	175
mp-675681	-2.100179881	0.0	0	2	6.4912	60.68055556	93	0.50295858	1	1770.0	3.1225	3	215
mp-775843	-2.100179881	3.2	8	8	1.685	50.72	87	0.416666667	1	2128.0	2.436	3	175
mp-776362	-2.100179881	3.2	8	8	1.5773	50.72	87	0.416666667	1	2128.0	2.436	3	175
mp-37436	-2.100179881	0.0	0	3	3.4428	31.04081633	87	0.465517241	1	903.78	2.110714286	3	139
mp-766238	-2.100727196	3.2	8	8	1.6015	50.72	87	0.416666667	1	2128.0	2.436	3	175
mp-625860	-2.100727196	0.0	0	2	3.6998	22.56241427	92	0.512820513	1	1050.0	2.612962963	3	195
mp-695601	-2.100727196	0.0	0	5	3.6089	30.08761493	94	0.594387755	1	1687.0	2.675697674	6	166
mp-556783	-2.101275202	0.0	0	4	4.5023	34.88888889	87	0.583333333	1	3823.0	2.463333333	4	166
mp-779864	-2.102373294	3.2	8	8	1.9892	50.72	87	0.192307692	1	2506.0	2.424	3	175
mp-775783	-2.102923382	3.2	8	8	2.0671	50.72	87	0.192307692	1	2506.0	2.424	3	175
mp-763609	-2.111259432	1.315789474	5	5	0.7011	33.96121884	87	0.404040404	1	1519.0	2.424736842	3	139
mp-759307	-2.111820899	2.0	8	8	2.0465	40.6	87	0.5	1	2750.0	2.882	3	164
mp-42036	-2.11350967	0.0	0	10	3.3788	37.32514178	87	0.520661157	1	1687.0	2.668043478	5	201
mp-677067	-2.114074055	0.0	0	5	3.6874	28.04045211	94	0.605769231	1	1687.0	2.768780488	5	176
mp-706524	-2.115771627	2.25	9	9	2.4848	66.8671875	87	0.5	1	1193.0	2.388125	3	207
mp-757800	-2.120904522	0.0	0	4	1.5934	27.33333333	87	0.411764706	1	3823.0	2.625	4	132
mp-758861	-2.122053451	0.0	0	1	2.6448	37.625	93	0.476190476	1	1234.93	2.59875	3	145
mp-756755	-2.129011595	0.947368421	6	7	2.1375	36.69806094	90	0.490566038	1	2750.0	2.690526316	4	164
mp-695043	-2.129596505	0.0	0	3	3.7669	40.83472057	92	0.5	1	494.0	2.729655172	5	203
mp-773100	-2.135489334	2.25	9	9	0.8308	56.875	87	0.353846154	1	1193.0	2.6775	3	207
mp-761922	-2.139662412	0.352941176	6	7	1.4654	31.22491349	90	0.476190476	1	2750.0	2.950588235	4	164
mp-36779	-2.140862123	0.0	0	3	4.9202	17.11111111	87	0.625	1	317.3	2.89	3	107
mp-677203	-2.148742079	0.0	0	4	4.0879	21.11242604	92	0.396226415	1	3823.0	2.451025641	5	120
mp-776229	-2.158015632	3.2	8	8	1.0034	43.52	87	0.416666667	1	1941.0	2.52	3	160
mp-625909	-2.158015632	0.0	0	2	2.7803	26.94214876	92	0.571428571	1	1000.0	2.757272727	3	215
mp-669521	-2.158640968	0.782608696	6	7	2.3494	35.04725898	94	0.460227273	1	2750.0	2.954782609	4	164
mp-34580	-2.160522393	0.0	0	4	5.1254	44.38888889	93	0.340659341	1	1770.0	3.3625	3	189
mp-675757	-2.163676327	0.0	0	3	1.802	37.5401662	87	0.3875	1	1090.0	2.773684211	3	215
mp-775961	-2.164309873	0.85	6	6	1.0002	35.16	87	0.364963504	1	3695.0	2.6715	5	162
mp-686617	-2.166853334	0.0	0	10	2.9399	41.81077411	94	0.455284553	1	1687.0	2.472340426	5	201
mp-775628	-2.170053754	1.227272727	9	9	3.121	43.58677686	87	0.465517241	1	1193.0	2.435454545	4	207
mp-776334	-2.172631179	3.2	8	8	0.9615	43.52	87	0.416666667	1	1941.0	2.52	3	160
mp-677028	-2.172631179	0.0	0	3	1.4753	60.96	93	0.352941176	1	544.4	2.956	3	220
mp-775820	-2.176526227	3.2	8	8	0.9737	43.52	87	0.416666667	1	1941.0	2.52	3	160
mp-673834	-2.177178812	0.0	0	5	1.1193	9.244444444	89	0.236111111	1	933.47	2.011333333	3	141
mp-686347	-2.177832379	0.0	0	5	1.0466	36.57986111	87	0.571428571	1	1687.0	2.599895833	5	176
mp-695305	-2.178486931	0.0	0	4	5.8787	24.86419753	93	0.66	1	3823.0	3.146666667	5	166
mp-696871	-2.189096189	1.8	9	9	3.4705	47.04	87	0.541666667	1	1193.0	2.606	3	207
mp-690136	-2.205512441	0.0	0	5	2.429	26.39500297	92	0.522058824	1	933.47	2.584146341	4	141
mp-778616	-2.213959288	1.75	7	7	1.4877	33.75	93	0.541666667	1	2183.0	3.1225	3	153
mp-753883	-2.215383206	2.4	9	9	2.5528	58.24	87	0.338709677	1	1193.0	2.626666667	3	207
mp-676694	-2.218245127	1.2	6	7	2.9835	38.4	87	0.5	1	2750.0	2.58	3	164
mp-554765	-2.228413033	0.0	0	3	4.0411	34.34666667	93	0.568965517	1	1000.0	3.516666667	3	215
mp-676400	-2.232102903	0.0	0	5	1.6843	29.0	87	0.272727273	1	577.0	2.885	3	145
mp-676693	-2.232102903	0.0	0	4	1.2795	57.55555556	82	0.5	1	3823.0	2.136666667	3	203
mp-757403	-2.238072688	0.0	0	2	0.4387	41.4430727	87	0.320987654	1	1357.77	2.39	3	166
mp-675069	-2.245652199	1.2	6	7	3.0231	38.4	87	0.5	1	2750.0	2.58	3	164
mp-626552	-2.258848953	0.0	0	2	4.0045	21.72839506	92	0.512820513	1	1115.0	2.614814815	3	176
mp-26835	-2.26520073	0.0	0	3	3.954	27.98891967	87	0.400621118	1	544.4	2.861578947	4	148
mp-694958	-2.269218289	0.0	0	5	3.24	23.95463138	87	0.612847222	1	1687.0	2.789652174	5	166
mp-686588	-2.279841276	0.0	0	5	2.5018	32.66424735	87	0.596354167	1	1687.0	2.622289157	5	220
mp-675033	-2.284833228	0.0	0	5	0.7558	7.713498623	90	0.182572614	1	1234.93	1.984242424	3	145
mp-672695	-2.290730633	0.0	0	4	1.5688	46.88888889	87	0.411764706	1	3823.0	2.603333333	4	203
mp-626564	-2.29243042	0.0	0	2	3.8998	21.72839506	92	0.512820513	1	1115.0	2.614814815	3	176
mp-768326	-2.294136886	0.0	0	4	1.1476	31.33058985	88	0.533333333	1	3823.0	2.794814815	5	166
mp-625208	-2.297570067	0.066666667	1	2	1.9343	22.4	92	0.352941176	1	2041.4	2.701333333	3	136
mp-626279	-2.300162881	0.0	0	2	4.0088	21.72839506	92	0.512820513	1	1115.0	2.614814815	3	176
mp-626563	-2.303644223	0.0	0	2	3.6705	21.72839506	92	0.512820513	1	1115.0	2.614814815	3	176
mp-759766	-2.308919127	0.0	0	5	1.8876	38.6035503	87	0.241164241	1	2348.0	2.872307692	3	148
mp-625112	-2.30980454	0.066666667	1	2	1.5863	22.4	92	0.352941176	1	2041.4	2.701333333	3	136
mp-720205	-2.312471663	0.0	0	5	1.6093	34.96252465	87	0.426470588	1	1818.0	2.402051282	6	195
mp-685043	-2.326058645	0.0	0	5	1.4283	18.0	95	0.3	1	2348.0	2.5	2	120
mp-33319	-2.332547701	0.0	0	11	3.3524	60.48	93	0.532258065	1	1204.0	3.031	3	203
mp-752443	-2.342944817	0.0	0	2	3.3378	17.68421053	90	0.612903226	1	722.66	3.188421053	3	138
mp-695592	-2.3555621	0.0	0	5	1.8155	32.23211721	82	0.508333333	1	1687.0	2.297627119	4	176
mp-772428	-2.356548015	0.411764706	7	7	1.2947	22.0899654	88	0.625	1	2183.0	3.037058824	4	153
mp-695259	-2.360514208	1.212121212	8	8	2.3328	46.20385675	87	0.46969697	1	1941.0	2.719393939	5	215
mp-677550	-2.361511442	0.0	0	5	2.194	29.34914277	87	0.564356436	1	1687.0	2.735443038	5	176
mp-675625	-2.37263486	0.0	0	3	3.0749	43.44	87	0.625	1	336.53	2.836	3	203
mp-626340	-2.379864674	0.0	0	2	3.8442	23.44032922	92	0.512820513	1	1000.0	2.610740741	3	215
mp-757127	-2.379864674	0.0	0	4	3.0697	26.41420118	87	0.455555556	1	1687.0	2.786153846	4	148
mp-775170	-2.399027866	0.714285714	5	6	2.0451	32.48979592	87	0.45	1	2180.0	2.604285714	5	139
mp-686614	-2.399027866	0.94047619	8	8	1.676	32.69387755	87	0.310509554	1	3290.0	2.657857143	5	170
mp-675881	-2.399027866	0.0	0	3	3.4802	56.44444444	93	0.396551724	1	544.4	3.126666667	3	220
mp-674421	-2.400117692	0.0	0	5	0.7792	41.75425331	93	0.18694362	1	1357.77	2.797391304	3	145
mp-626337	-2.403403674	0.0	0	2	3.6536	22.56241427	92	0.512820513	1	1050.0	2.612962963	3	195
mp-531130	-2.40450455	0.0	0	5	2.1278	39.30461538	87	0.235294118	1	577.0	2.865846154	3	148
mp-675250	-2.410051181	0.0	0	3	3.5787	45.92	93	0.37962963	1	544.4	3.272	3	203
mp-761126	-2.412289821	0.0	0	2	0.1689	34.11570248	93	0.369565217	1	1357.77	3.174545455	3	132
mp-561974	-2.421361592	2.947368421	8	8	2.7613	49.9501385	87	0.458333333	1	2128.0	2.578421053	3	175
mp-676923	-2.425969543	0.0	0	3	1.8172	39.49030471	87	0.234848485	1	594.22	2.807368421	3	148
mp-627349	-2.430626909	0.0	0	4	1.3704	24.08163265	92	0.571428571	1	1687.0	2.645714286	3	111
mp-767433	-2.432974458	1.555555556	7	7	1.7404	38.2962963	93	0.557692308	1	2183.0	3.064444444	4	153
mp-626562	-2.437707969	0.0	0	2	3.9008	21.72839506	92	0.512820513	1	1115.0	2.614814815	3	176
mp-767722	-2.462181786	0.55	7	7	1.2461	22.19	87	0.581196581	1	2183.0	3.019	4	153
mp-626819	-2.468521977	0.555555556	5	5	3.8487	21.85185185	92	0.37037037	1	3459.0	2.855555556	3	151
mp-561052	-2.469801199	0.571428571	8	8	2.1487	42.62585034	88	0.576923077	1	1941.0	2.696190476	7	215
mp-760205	-2.472371001	0.0	0	2	4.9752	42.86245623	88	0.622406639	1	1000.0	2.84043956	3	215
mp-707160	-2.476254443	0.0	0	3	1.5844	11.5	93	0.65	1	63.05	3.3	3	71
mp-690607	-2.501690411	0.090909091	2	3	1.6946	35.28099174	87	0.568965517	1	1728.0	2.907272727	5	215
mp-851270	-2.50584638	1.565789474	7	7	0.4029	35.11911357	87	0.472906404	1	2183.0	2.688815789	4	153
mp-686836	-2.533133418	1.0	8	8	2.379	41.1	87	0.28	1	2750.0	2.8325	5	164
mp-532626	-2.540608568	0.0	0	10	2.9631	21.81176471	87	0.550387597	1	1687.0	2.528470588	5	201
mp-707276	-2.552843055	0.0	0	3	4.2994	20.97959184	93	0.532608696	1	722.66	2.842857143	6	138
mp-769549	-2.554396887	0.428571429	5	6	2.2921	22.37387755	88	0.568720379	1	2180.0	3.018571429	5	139
mp-676339	-2.559092019	1.555555556	7	7	3.619	52.88888889	87	0.315789474	1	3290.0	2.725555556	3	215
mp-622026	-2.563838467	0.857142857	6	6	1.358	37.2244898	87	0.242424242	1	3695.0	2.845714286	3	162
mp-767604	-2.567031831	1.217391304	6	7	3.2491	38.32136106	87	0.485549133	1	2750.0	2.612898551	4	164
mp-626977	-2.573489878	0.0	0	4	1.9862	24.08163265	92	0.571428571	1	1687.0	2.645714286	3	111
mp-767395	-2.576755273	0.0	0	3	0.429	32.5	87	0.389830508	1	1357.77	2.409	4	139
mp-765601	-2.591761223	1.473684211	7	7	1.9956	35.85041551	93	0.510416667	1	2183.0	2.698947368	4	153
mp-677246	-2.59516748	0.987012987	8	8	2.6809	41.66706021	87	0.539215686	1	2750.0	2.792987013	5	215
mp-627334	-2.605549545	0.0	0	4	1.7091	24.08163265	92	0.571428571	1	1687.0	2.645714286	3	111
mp-626293	-2.61618589	0.0	0	2	3.2139	22.56241427	92	0.512820513	1	1050.0	2.612962963	3	195
mp-759244	-2.627089285	1.217391304	6	7	3.2272	38.32136106	87	0.485549133	1	2750.0	2.612898551	4	164
mp-761849	-2.634513325	1.481481481	8	8	2.9605	44.4005487	87	0.5	1	1941.0	2.35	4	166
mp-662523	-2.645892906	0.0	0	2	3.2765	48.24	90	0.444444444	1	1050.0	2.674	3	195
mp-626788	-2.655609102	0.555555556	5	5	3.9197	21.85185185	92	0.37037037	1	3459.0	2.855555556	3	151
mp-532803	-2.663541667	0.209302326	9	9	3.0497	22.5592212	82	0.546875	1	1799.0	2.500232558	4	190
mp-689929	-2.663541667	0.583333333	7	7	1.3533	25.66666667	87	0.59375	1	2183.0	2.875833333	4	153
mp-504946	-2.669587648	0.571428571	6	7	3.2857	24.48979592	87	0.6	1	2750.0	3.026666667	3	164
mp-762032	-2.671621824	2.14084507	8	8	2.3023	45.91152549	87	0.5	1	1941.0	2.649295775	4	215
mp-758224	-2.671621824	0.0	0	4	2.9283	27.3	87	0.516949153	1	505.08	2.7355	4	139
mp-767162	-2.688247622	1.25	5	5	1.044	35.22222222	93	0.455882353	1	1519.0	2.6925	4	139
mp-753557	-2.69250546	0.0	0	3	0.3511	32.4691358	87	0.396551724	1	1357.77	2.567777778	4	139
mp-760014	-2.705535317	0.0	0	3	3.6756	34.0	93	0.522727273	1	903.78	3.158333333	3	139
mp-779434	-2.709966948	1.772727273	9	9	3.4779	46.0661157	87	0.5	1	2750.0	2.394545455	4	207
mp-695215	-2.718968225	0.209302326	9	9	2.4673	23.10275825	87	0.546875	1	1799.0	2.504069767	5	190
mp-557441	-2.728160019	0.0	0	2	2.1259	36.96296296	96	0.409638554	1	1337.33	3.071111111	4	203
mp-626829	-2.732829915	0.555555556	5	5	1.4053	21.85185185	92	0.37037037	1	3459.0	2.855555556	3	151
mp-674363	-2.744729184	3.157894737	9	9	3.9398	49.39612188	87	0.5	1	2128.0	2.668947368	3	175
mp-676951	-2.754489059	0.545454545	6	7	2.8182	55.07438017	87	0.337349398	1	2750.0	2.667272727	3	192
mp-759763	-2.759452499	2.752941176	9	9	3.4413	58.83737024	87	0.519607843	1	2348.0	2.592470588	3	207
mp-757504	-2.761955654	2.666666667	8	8	2.6509	44.0	87	0.5	1	2128.0	2.783333333	3	175
mp-776408	-2.769552867	2.333333333	9	9	2.4164	47.03703704	87	0.479166667	1	2750.0	2.74	4	190
mp-677636	-2.793176012	0.759493671	6	7	2.3721	57.50552796	87	0.5	1	2750.0	2.513670886	3	195
mp-530379	-2.809670263	1.0	8	8	2.43	54.6875	87	0.357142857	1	1941.0	2.645	3	194
mp-757077	-2.818158412	0.0	0	4	0.0	24.35796046	87	0.541176471	1	1687.0	2.784516129	4	132
mp-626542	-2.841639619	0.0	0	3	0.2877	18.0	92	0.5	1	63.05	2.616	3	71
mp-677042	-2.879428372	0.780487805	8	8	4.4486	40.0333135	87	0.567708333	1	2128.0	2.587317073	5	175
mp-766237	-2.931816736	3.6	9	16	3.4374	60.06	87	0.450704225	1	1799.0	2.5505	3	196
mp-676050	-2.931816736	0.0	0	3	1.0345	18.26989619	92	0.559322034	1	63.05	2.785882353	3	71
mp-754445	-2.939304804	0.727272727	8	8	2.793	27.04132231	87	0.541666667	1	2348.0	2.565454545	4	160
mp-769511	-2.950784691	1.4	7	7	3.0706	40.32	87	0.5	1	2183.0	2.581	4	166
mp-695250	-2.982969584	2.025	9	9	3.0727	54.15	87	0.5	1	2750.0	2.5625	5	215
mp-773725	-2.982969584	0.384615385	5	5	3.5405	29.60946746	87	0.540983607	1	3823.0	2.560384615	6	166
