     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3
        20   -0.2088310214E+01   -0.2474708890E+01    0.1983887693E+00    0.2668878119E+01    0.1888674788E+01
        21   -0.2896198673E+01   -0.3258105210E+01    0.3392156431E+00    0.9379170167E+01    0.1406345757E+01
        22   -0.2735183829E+01   -0.3352188126E+01    0.7291894747E+00    0.4290276550E+01    0.1500675077E+01
        23   -0.3754504605E+01   -0.2803900829E+01    0.2383372916E+00    0.6642533377E+01    0.1850923161E+01
        24   -0.3291585049E+01   -0.3312132772E+01    0.5562340149E+00    0.7474387318E+01    0.1642256026E+01
        25   -0.5973466735E+01   -0.3794287367E+01    0.1056596568E+01    0.5703390914E+01    0.1643451985E+01
        26   -0.2970619063E+01   -0.3237442100E+01    0.5060432418E+00    0.5285609112E+01    0.1240340934E+01
        27   -0.3149971036E+01   -0.3244680190E+01    0.5060432418E+00    0.5392706602E+01    0.1240340934E+01
        28   -0.2950784691E+01   -0.3869177282E+01    0.9405361609E+00    0.8650200674E+01    0.1597066362E+01
        29   -0.3253371249E+01   -0.3243320436E+01    0.5060432418E+00    0.5372587171E+01    0.1240340934E+01
        30   -0.3375725125E+01   -0.3244574474E+01    0.5060432418E+00    0.5391142396E+01    0.1240340934E+01
        31   -0.2787814261E+01   -0.3957396994E+01    0.9601379594E+00    0.8717257244E+01    0.1416343197E+01
        32   -0.3136086782E+01   -0.3162500996E+01    0.4711201655E+00    0.4647717697E+01    0.1209653974E+01
        33   -0.3213963766E+01   -0.3376897280E+01    0.4649636501E+00    0.9105188601E+01    0.1448577999E+01
        34   -0.3000437555E+01   -0.3515897385E+01    0.4811619751E+00    0.8298929134E+01    0.9253254445E+00
        35   -0.3133716797E+01   -0.3485023525E+01    0.4811619751E+00    0.7842107953E+01    0.9253254445E+00
        36   -0.4038612132E+01   -0.3076058099E+01    0.4048545996E+00    0.4366652958E+01    0.1172631658E+01
        37   -0.3580055811E+01   -0.3226531173E+01    0.5060432418E+00    0.5124166959E+01    0.1240340934E+01
        38   -0.2548214638E+01   -0.3507661736E+01    0.5819894429E+00    0.9667165115E+01    0.1593139554E+01
        39   -0.3458429492E+01   -0.3616544526E+01    0.7737529879E+00    0.6323892996E+01    0.1280303066E+01
        40   -0.3414547166E+01   -0.3895826542E+01    0.9595419891E+00    0.9026397109E+01    0.1662178501E+01
        41   -0.3472379120E+01   -0.3641272844E+01    0.6067021431E+00    0.8367145371E+01    0.1016557470E+01
        42   -0.2568637362E+01   -0.2791343164E+01    0.1123145439E+00    0.5327690371E+01    0.1165295082E+01
        43   -0.3467254536E+01   -0.3457588352E+01    0.6233537325E+00    0.7665279816E+01    0.1486573840E+01
        44   -0.3764489228E+01   -0.3999256816E+01    0.1246073435E+01    0.5332314812E+01    0.1637463731E+01
        45   -0.2978813596E+01   -0.3241408302E+01    0.5060432418E+00    0.5344294526E+01    0.1240340934E+01
        46   -0.3238829456E+01   -0.3403028603E+01    0.4649636501E+00    0.9491837439E+01    0.1448577999E+01
        47   -0.2501690411E+01   -0.2559700396E+01    0.7237956559E-01    0.3211775924E+01    0.1287314125E+01
        48   -0.3003491393E+01   -0.2780467370E+01    0.1819724847E+00    0.5644262667E+01    0.1514480197E+01
        49   -0.5598082750E+01   -0.3974210654E+01    0.1143770247E+01    0.6870692007E+01    0.1655154070E+01
        50   -0.2573489878E+01   -0.2931572528E+01    0.4325455207E+00    0.2097426005E+01    0.1246163370E+01
        51   -0.2939304804E+01   -0.3644870949E+01    0.8613086854E+00    0.6589543699E+01    0.1566028919E+01
        52   -0.3050613409E+01   -0.2923049630E+01    0.3272596431E+00    0.4898063707E+01    0.1459916390E+01
        53   -0.3554406693E+01   -0.3565432204E+01    0.8628969199E+00    0.5599578549E+01    0.1609467735E+01
        54   -0.4896435720E+01   -0.3245801292E+01    0.6831078536E+00    0.3113018179E+01    0.1414540960E+01
        55   -0.2675718986E+01   -0.2770795055E+01    0.3062155408E+00    0.2284052973E+01    0.1310332990E+01
        56   -0.3779910226E+01   -0.3653714434E+01    0.9224528679E+00    0.5387379114E+01    0.1516418287E+01
        57   -0.6314258261E+01   -0.3920932135E+01    0.9766121972E+00    0.8636045615E+01    0.1569128878E+01
        58   -0.3647830994E+01   -0.3662233306E+01    0.9335107410E+00    0.5225328126E+01    0.1497888689E+01
        59   -0.4292489437E+01   -0.3563075781E+01    0.8743671573E+00    0.5538144964E+01    0.1645586146E+01
        60   -0.3068545689E+01   -0.3427965244E+01    0.4649636501E+00    0.9860809312E+01    0.1448577999E+01
        61   -0.2793176012E+01   -0.3414387217E+01    0.4649636501E+00    0.9659903742E+01    0.1448577999E+01
        62   -0.2987165727E+01   -0.2785777112E+01    0.1936535155E+00    0.5644262667E+01    0.1540793245E+01
        63   -0.3362517275E+01   -0.3149512054E+01    0.5691475945E+00    0.3478886889E+01    0.1365978891E+01
        64   -0.3607315355E+01   -0.3589356460E+01    0.5516003281E+00    0.8266727564E+01    0.9528278954E+00
        65   -0.2705535317E+01   -0.2971444073E+01    0.4196220722E+00    0.4489786696E+01    0.1565717105E+01
        66   -0.3055027543E+01   -0.2742657181E+01    0.1642593714E+00    0.5575456968E+01    0.1550087456E+01
        67   -0.2931816736E+01   -0.3175564334E+01    0.4772595665E+00    0.4821057806E+01    0.1227821615E+01
        68   -0.3435342220E+01   -0.3213556986E+01    0.6833408249E+00    0.2603948266E+01    0.1408886235E+01
        69   -0.2978813596E+01   -0.3680657872E+01    0.9335107410E+00    0.5497944900E+01    0.1497888689E+01
        70   -0.3178491057E+01   -0.3446066478E+01    0.4649636501E+00    0.1012864193E+02    0.1448577999E+01
        71   -0.3892813781E+01   -0.3043917748E+01    0.5031390852E+00    0.2925700832E+01    0.1332173563E+01
        72   -0.4407901001E+01   -0.3567971655E+01    0.5516003281E+00    0.7950309992E+01    0.9528278954E+00
        73   -0.3280674515E+01   -0.3668228884E+01    0.7526813279E+00    0.8777573137E+01    0.1547301475E+01
        74   -0.2122629057E+01   -0.2784597641E+01    0.3033069728E+00    0.2655447506E+01    0.1333780920E+01
        75   -0.4251866263E+01   -0.3698519903E+01    0.9318589421E+00    0.5361917543E+01    0.1410546210E+01
        76   -0.3182439257E+01   -0.4083763943E+01    0.9835249168E+00    0.1010326084E+02    0.1402671294E+01
        77   -0.3698985205E+01   -0.3620470999E+01    0.9017815080E+00    0.6696024743E+01    0.1807545630E+01
        78   -0.4623550795E+01   -0.3684714479E+01    0.7794034710E+00    0.8917636136E+01    0.1622915901E+01
        79   -0.3958634953E+01   -0.3537430001E+01    0.5820250511E+00    0.7563167206E+01    0.1076117065E+01
        80   -0.3591771910E+01   -0.3826803998E+01    0.7545268795E+00    0.9506636771E+01    0.1225277410E+01
        81   -0.3419083003E+01   -0.3158212567E+01    0.7049605237E+00    0.4368504977E+01    0.2012218205E+01
        82   -0.3477564895E+01   -0.3673493037E+01    0.8162845948E+00    0.7807433067E+01    0.1564514020E+01
        83   -0.2568637362E+01   -0.2609723504E+01    0.7237956559E-01    0.3951936552E+01    0.1287314125E+01
        84   -0.2449772503E+01   -0.3047884084E+01    0.3135396926E+00    0.7115627855E+01    0.1485551099E+01
        85   -0.3728174650E+01   -0.3437077347E+01    0.5632102931E+00    0.9156549790E+01    0.1633654089E+01
        86   -0.3288198674E+01   -0.2719429898E+01    0.2174653364E+00    0.3760475352E+01    0.1443637318E+01
        87   -0.2209012017E+01   -0.2878303854E+01    0.3344714225E+00    0.2568026120E+01    0.1147013718E+01
        88   -0.3424820240E+01   -0.3048499733E+01    0.5031390852E+00    0.2993497595E+01    0.1332173563E+01
        89   -0.2917217142E+01   -0.3405401710E+01    0.7821697048E+00    0.3806437653E+01    0.1434076378E+01
        90   -0.2943097816E+01   -0.2980463430E+01    0.2677577934E+00    0.6300985071E+01    0.1357018888E+01
        91   -0.2716700354E+01   -0.2614437666E+01    0.7237956559E-01    0.4021689049E+01    0.1287314125E+01
        92   -0.2578397225E+01   -0.2609413750E+01    0.7237956559E-01    0.3947353322E+01    0.1287314125E+01
        93   -0.2521434514E+01   -0.2608584205E+01    0.7237956559E-01    0.3935079051E+01    0.1287314125E+01
        94   -0.2643975482E+01   -0.2612939982E+01    0.7237956559E-01    0.3999528758E+01    0.1287314125E+01
        95   -0.2482805026E+01   -0.2610421181E+01    0.7237956559E-01    0.3962259637E+01    0.1287314125E+01
        96   -0.2943097816E+01   -0.3404618117E+01    0.7821697048E+00    0.3794843319E+01    0.1434076378E+01
        97   -0.2485453177E+01   -0.2776677339E+01    0.1828326562E+00    0.4799520328E+01    0.1357300979E+01
        98   -0.2679855169E+01   -0.2701108301E+01    0.1836410484E+00    0.4053719937E+01    0.1435905174E+01
        99   -0.3281504124E+01   -0.3290001949E+01    0.7237017437E+00    0.3150276953E+01    0.1436123871E+01
       100   -0.3202737308E+01   -0.2999022937E+01    0.4596961339E+00    0.2831738624E+01    0.1290840879E+01
       101   -0.2540608568E+01   -0.2589983439E+01    0.1568223925E+00    0.3648525700E+01    0.1590663578E+01
       102   -0.2575119506E+01   -0.2611447650E+01    0.7237956559E-01    0.3977447658E+01    0.1287314125E+01
       103   -0.4209060720E+01   -0.3801772075E+01    0.9748219036E+00    0.5827663089E+01    0.1350206667E+01
       104   -0.2568637362E+01   -0.2612891816E+01    0.7237956559E-01    0.3998816084E+01    0.1287314125E+01
       105   -0.2519994064E+01   -0.2612061550E+01    0.7237956559E-01    0.3986531157E+01    0.1287314125E+01
       106   -0.2701148452E+01   -0.2613342150E+01    0.7237956559E-01    0.4005479388E+01    0.1287314125E+01
       107   -0.2515701158E+01   -0.2613036261E+01    0.7237956559E-01    0.4000953346E+01    0.1287314125E+01
       108   -0.2576755273E+01   -0.2595805342E+01    0.1568223925E+00    0.3734668766E+01    0.1590663578E+01
       109   -0.2677782153E+01   -0.2593249019E+01    0.1568223925E+00    0.3696844456E+01    0.1590663578E+01
       110   -0.5800519085E+01   -0.3713152486E+01    0.7333852033E+00    0.9240393846E+01    0.1436424103E+01
       111   -0.2684031124E+01   -0.2596271422E+01    0.1568223925E+00    0.3741565061E+01    0.1590663578E+01
       112   -0.2446117822E+01   -0.2590764813E+01    0.1568223925E+00    0.3660087214E+01    0.1590663578E+01
       113   -0.3197915537E+01   -0.3267770413E+01    0.4898133538E+00    0.5831554989E+01    0.1201349543E+01
       114   -0.2459671401E+01   -0.2592023472E+01    0.1568223925E+00    0.3678710800E+01    0.1590663578E+01
       115   -0.4857203965E+01   -0.3548229950E+01    0.5820250511E+00    0.7505128124E+01    0.1031842128E+01
       116   -0.4829943743E+01   -0.3864574899E+01    0.1022951944E+01    0.7360821263E+01    0.1647160884E+01
       117   -0.3231367078E+01   -0.3355338857E+01    0.6927171728E+00    0.5235072101E+01    0.1551209405E+01
       118   -0.2536108056E+01   -0.2609889308E+01    0.7237956559E-01    0.3954389854E+01    0.1287314125E+01
       119   -0.2609066129E+01   -0.2613333420E+01    0.7237956559E-01    0.4005350214E+01    0.1287314125E+01
       120   -0.2126098808E+01   -0.2818598796E+01    0.2622599571E+00    0.3475523824E+01    0.1249631179E+01
       121   -0.3284838500E+01   -0.2836115510E+01    0.2959194701E+00    0.4103825710E+01    0.1446488054E+01
       122   -0.4211174319E+01   -0.3172706650E+01    0.4656073340E+00    0.7640976340E+01    0.1767375882E+01
       123   -0.6394694954E+01   -0.3814519020E+01    0.9616111011E+00    0.7911699252E+01    0.1687626473E+01
       124   -0.3630797135E+01   -0.2720851488E+01    0.2642650181E+00    0.5046224693E+01    0.1870083288E+01
       125   -0.3316059163E+01   -0.3092766157E+01    0.4889768282E+00    0.3702992182E+01    0.1291990724E+01
       126   -0.4405684812E+01   -0.3508076492E+01    0.5839217777E+00    0.7690557738E+01    0.1197149058E+01
       127   -0.3048665882E+01   -0.3049960235E+01    0.4765901577E+00    0.4210355693E+01    0.1479005531E+01
       128   -0.4636519644E+01   -0.3526311698E+01    0.8305621005E+00    0.5007656678E+01    0.1489769024E+01
       129   -0.2563838467E+01   -0.2610194647E+01    0.1893703043E+00    0.2962021634E+01    0.1508164652E+01
       130   -0.2829740339E+01   -0.3255408666E+01    0.6661085452E+00    0.3700859811E+01    0.1443593854E+01
       131   -0.3214675149E+01   -0.3320634350E+01    0.5027516486E+00    0.9569352468E+01    0.1848895896E+01
       132   -0.4104616133E+01   -0.3544217687E+01    0.6321441033E+00    0.5581970240E+01    0.8344466965E+00
       133   -0.2503071320E+01   -0.2627587135E+01    0.1568223925E+00    0.3147830690E+01    0.1375813579E+01
       134   -0.3126102466E+01   -0.3330812984E+01    0.6446020379E+00    0.5359127421E+01    0.1476020731E+01
       135   -0.2737550571E+01   -0.3060417022E+01    0.5026188071E+00    0.4241169264E+01    0.1548035711E+01
       136   -0.3099090751E+01   -0.3171993013E+01    0.4266338853E+00    0.5621599297E+01    0.1218022085E+01
       137   -0.2737550571E+01   -0.3062345760E+01    0.4398312173E+00    0.4814923684E+01    0.1431580612E+01
       138   -0.2826815772E+01   -0.3020779263E+01    0.4592925805E+00    0.3232565064E+01    0.1305418650E+01
       139   -0.3323312790E+01   -0.2829329967E+01    0.2813052646E+00    0.6679792943E+01    0.1937551204E+01
       140   -0.3764489228E+01   -0.2938067871E+01    0.3878157252E+00    0.4785300545E+01    0.1611024162E+01
       141   -0.2365523435E+01   -0.2624583685E+01    0.1568223925E+00    0.3103390520E+01    0.1375813579E+01
       142   -0.2653648395E+01   -0.3033365498E+01    0.4281643473E+00    0.4045966789E+01    0.1320215853E+01
       143   -0.2286510045E+01   -0.2625467055E+01    0.1568223925E+00    0.3116461191E+01    0.1375813579E+01
       144   -0.2718968225E+01   -0.2704164279E+01    0.2795038938E+00    0.3347276987E+01    0.1630121623E+01
       145   -0.3233592359E+01   -0.3615658408E+01    0.9671230662E+00    0.4513527825E+01    0.1614947307E+01
       146   -0.6199970640E+01   -0.3596941074E+01    0.9717993553E+00    0.5721874001E+01    0.1933753997E+01
       147   -0.2468521977E+01   -0.2894191568E+01    0.2986185023E+00    0.6403733189E+01    0.1749052205E+01
       148   -0.3465982783E+01   -0.3413726436E+01    0.6836300456E+00    0.4791532667E+01    0.1252580527E+01
       149   -0.2563838467E+01   -0.2861908486E+01    0.3116428717E+00    0.3942955384E+01    0.1393137448E+01
       150   -0.2610835157E+01   -0.2676078205E+01    0.1710360194E+00    0.4297266258E+01    0.1515052504E+01
       151   -0.3004806782E+01   -0.2932955894E+01    0.3272596431E+00    0.5116475279E+01    0.1474516522E+01
       152   -0.3258066429E+01   -0.3746182357E+01    0.9291886683E+00    0.5661029247E+01    0.1318338573E+01
       153   -0.2045757829E+01   -0.2988682229E+01    0.2093078902E+00    0.7401280904E+01    0.1344365937E+01
       154   -0.2469801199E+01   -0.2911242429E+01    0.3818694480E+00    0.5037947409E+01    0.1721522534E+01
       155   -0.2747148667E+01   -0.2883390480E+01    0.3189621929E+00    0.3165651640E+01    0.1197043951E+01
       156   -0.3019545288E+01   -0.2934479076E+01    0.3272596431E+00    0.5139012853E+01    0.1474516522E+01
       157   -0.3857007071E+01   -0.3577896229E+01    0.5820250511E+00    0.7705747855E+01    0.9834017702E+00
       158   -0.2567031831E+01   -0.3343812716E+01    0.5778703139E+00    0.6372979719E+01    0.1401443602E+01
       159   -0.3860142944E+01   -0.3929607066E+01    0.1012194421E+01    0.7916679142E+01    0.1525626993E+01
       160   -0.6443697499E+01   -0.3665483743E+01    0.8888297076E+00    0.6777268760E+01    0.1641810378E+01
       161   -0.2432974458E+01   -0.2525507527E+01    0.1588896006E+00    0.5639603283E+01    0.2196723325E+01
       162   -0.3166220083E+01   -0.3024067575E+01    0.4889768282E+00    0.3683836820E+01    0.1494694983E+01
       163   -0.3982995893E+01   -0.3573317334E+01    0.5820250511E+00    0.7637996816E+01    0.9834017702E+00
       164   -0.6527243550E+01   -0.3508596631E+01    0.8668501589E+00    0.4268969197E+01    0.1524257824E+01
       165   -0.2782517898E+01   -0.3178493257E+01    0.3669096046E+00    0.5814351808E+01    0.1021470023E+01
       166   -0.3974722816E+01   -0.3578082567E+01    0.5820250511E+00    0.7708504991E+01    0.9834017702E+00
       167   -0.4987458027E+01   -0.3562994999E+01    0.5820250511E+00    0.7485263689E+01    0.9834017702E+00
       168   -0.3459679286E+01   -0.2974066857E+01    0.2728029672E+00    0.6112332332E+01    0.1356174095E+01
       169   -0.2793176012E+01   -0.3153353536E+01    0.3669096046E+00    0.5442375090E+01    0.1021470023E+01
       170   -0.3110142197E+01   -0.3251010093E+01    0.5418859772E+00    0.7050970786E+01    0.1688078132E+01
       171   -0.2500313879E+01   -0.2912984439E+01    0.1844650773E+00    0.7005517409E+01    0.1401652959E+01
       172   -0.2374688269E+01   -0.2879412141E+01    0.2343313560E+00    0.6518635613E+01    0.1584155954E+01
       173   -0.3742338221E+01   -0.3576012217E+01    0.8405259983E+00    0.5508084869E+01    0.1478080150E+01
       174   -0.3187091320E+01   -0.3220087371E+01    0.5108356984E+00    0.7471990882E+01    0.1754252161E+01
       175   -0.2910097361E+01   -0.3486950466E+01    0.8742674659E+00    0.3551187646E+01    0.1470316127E+01
       176   -0.2576755273E+01   -0.3123528247E+01    0.5587846996E+00    0.4169216670E+01    0.1546916973E+01
       177   -0.6832682665E+01   -0.3707018851E+01    0.8884268250E+00    0.7015108941E+01    0.1563783466E+01
       178   -0.3325145286E+01   -0.3283435733E+01    0.6725464922E+00    0.4804181084E+01    0.1606856595E+01
       179   -0.4014604965E+01   -0.3540022330E+01    0.5820250511E+00    0.7601524265E+01    0.1076117065E+01
       180   -0.2447332636E+01   -0.3424207583E+01    0.6139300877E+00    0.6978366944E+01    0.1413237520E+01
       181   -0.2903092419E+01   -0.3119406723E+01    0.5263880967E+00    0.4069231425E+01    0.1421726206E+01
       182   -0.2642066486E+01   -0.3049623587E+01    0.4128574811E+00    0.3958993284E+01    0.1198240573E+01
       183   -0.3787831047E+01   -0.3249765797E+01    0.5220449273E+00    0.5496978428E+01    0.1304160041E+01
       184   -0.3507249386E+01   -0.2777067600E+01    0.1711452756E+00    0.3940216043E+01    0.1139173148E+01
       185   -0.3621614819E+01   -0.3546109823E+01    0.5820250511E+00    0.7473757936E+01    0.1031842128E+01
       186   -0.2250264225E+01   -0.2981912845E+01    0.2661627333E+00    0.6361319925E+01    0.1359149343E+01
       187   -0.3607315355E+01   -0.3254079174E+01    0.5241916322E+00    0.5149199165E+01    0.1228273948E+01
       188   -0.2402305582E+01   -0.3054171201E+01    0.4628596508E+00    0.2705571643E+01    0.1110801129E+01
       189   -0.2301030604E+01   -0.2644282753E+01    0.1835107965E+00    0.4448888627E+01    0.1686641855E+01
       190   -0.3019545288E+01   -0.2877500521E+01    0.2665643743E+00    0.4828423872E+01    0.1363047731E+01
       191   -0.2649753339E+01   -0.3051923228E+01    0.4948257272E+00    0.4093828419E+01    0.1515424596E+01
       192   -0.2962576291E+01   -0.3182052202E+01    0.4783166965E+00    0.5697156467E+01    0.1390200597E+01
       193   -0.3348728772E+01   -0.3573361453E+01    0.5820250511E+00    0.7638649614E+01    0.9834017702E+00
       194   -0.2551294762E+01   -0.3386448383E+01    0.7572245144E+00    0.3966110578E+01    0.1433235217E+01
       195   -0.3134900172E+01   -0.3065009043E+01    0.3187150217E+00    0.5892376482E+01    0.1204162993E+01
       196   -0.2853874135E+01   -0.3768969381E+01    0.1155786678E+01    0.4136815335E+01    0.1760222527E+01
       197   -0.3962601393E+01   -0.3407892173E+01    0.8131397942E+00    0.5395345169E+01    0.1861626279E+01
       198   -0.2638273486E+01   -0.3353911295E+01    0.7052920512E+00    0.4026598739E+01    0.1355401600E+01
       199   -0.2917217142E+01   -0.3539273758E+01    0.9354893354E+00    0.4158002504E+01    0.1657897537E+01
       200   -0.3310697358E+01   -0.2896901543E+01    0.4012344230E+00    0.2533083767E+01    0.1325640544E+01
       201   -0.1749580169E+01   -0.2951555851E+01    0.3184723210E+00    0.4920153670E+01    0.1346872330E+01
       202   -0.2285670827E+01   -0.3495800482E+01    0.6032675933E+00    0.8675341637E+01    0.1504244909E+01
       203   -0.3593471742E+01   -0.3791024376E+01    0.9491305855E+00    0.6179198764E+01    0.1360983316E+01
       204   -0.3364523290E+01   -0.3621259700E+01    0.9409448725E+00    0.4226868405E+01    0.1445084661E+01
       205   -0.4049669229E+01   -0.2836725619E+01    0.2205359333E+00    0.5090226586E+01    0.1372274497E+01
       206   -0.2954679760E+01   -0.2782712864E+01    0.1861707155E+00    0.4078117764E+01    0.1204610688E+01
       207   -0.2869668484E+01   -0.3061530266E+01    0.4245711006E+00    0.5210396685E+01    0.1459175318E+01
       208   -0.3056014584E+01   -0.3088357293E+01    0.4948257272E+00    0.4632920477E+01    0.1515424596E+01
       209   -0.2669587648E+01   -0.3026296329E+01    0.5028721164E+00    0.2538927832E+01    0.1305590130E+01
       210   -0.2441292269E+01   -0.3089298198E+01    0.4247833355E+00    0.4446794031E+01    0.1221237738E+01
       211   -0.3056508946E+01   -0.3256699242E+01    0.6765145014E+00    0.4488391424E+01    0.1637441103E+01
       212   -0.2290730633E+01   -0.3073061198E+01    0.4948257272E+00    0.4406593720E+01    0.1515424596E+01
       213   -0.4193867530E+01   -0.3524975109E+01    0.5820250511E+00    0.7161040797E+01    0.1031842128E+01
       214   -0.2756963688E+01   -0.3060737302E+01    0.4245711006E+00    0.5198663689E+01    0.1459175318E+01
       215   -0.2684031124E+01   -0.3029906193E+01    0.3796451064E+00    0.5678657034E+01    0.1486834905E+01
       216   -0.3279846488E+01   -0.3137008815E+01    0.5595443521E+00    0.4670070002E+01    0.1610922909E+01
       217   -0.3166220083E+01   -0.3067442964E+01    0.3187150217E+00    0.5928389697E+01    0.1204162993E+01
       218   -0.2329754797E+01   -0.3310592193E+01    0.4843862648E+00    0.8770944895E+01    0.1650346602E+01
       219   -0.2759452499E+01   -0.3305650814E+01    0.7140378159E+00    0.3709005105E+01    0.1467642360E+01
       220   -0.2863281652E+01   -0.3237709994E+01    0.5693388394E+00    0.5479275731E+01    0.1508004152E+01
       221   -0.2688247622E+01   -0.2952840691E+01    0.3716569930E+00    0.4587355675E+01    0.1467877605E+01
       222   -0.2632645384E+01   -0.3393948978E+01    0.7000013120E+00    0.5450064861E+01    0.1505159377E+01
       223   -0.3299302339E+01   -0.2944583386E+01    0.3540374193E+00    0.4366949778E+01    0.1384136809E+01
       224   -0.2962576291E+01   -0.3029928224E+01    0.5287883724E+00    0.2251485918E+01    0.1330053856E+01
       225   -0.4879656438E+01   -0.3458643015E+01    0.6881501320E+00    0.5597989068E+01    0.1297772820E+01
       226   -0.2987165727E+01   -0.2943184186E+01    0.3539557156E+00    0.5774342767E+01    0.1674095883E+01
       227   -0.2896198673E+01   -0.3397058851E+01    0.5598099379E+00    0.8172745882E+01    0.1541739615E+01
       228   -0.2869668484E+01   -0.3300540935E+01    0.6907136198E+00    0.4040468037E+01    0.1465952783E+01
       229   -0.3267611870E+01   -0.2951411979E+01    0.3187150217E+00    0.4211551828E+01    0.1204162993E+01
       230   -0.2607304278E+01   -0.2812968212E+01    0.2217508865E+00    0.5416788198E+01    0.1514490267E+01
       231   -0.2317855556E+01   -0.2805691578E+01    0.2204941733E+00    0.4820235512E+01    0.1410577528E+01
       232   -0.3341995285E+01   -0.2712524113E+01    0.2433605298E+00    0.4790123210E+01    0.1767408037E+01
       233   -0.2423659456E+01   -0.2824105223E+01    0.2560822523E+00    0.4588513731E+01    0.1436921396E+01
       234   -0.3084076477E+01   -0.2766657340E+01    0.2907649934E+00    0.4282676143E+01    0.1673063195E+01
       235   -0.3244893077E+01   -0.2966530911E+01    0.4316587159E+00    0.4768917558E+01    0.1680792952E+01
       236   -0.3546692365E+01   -0.2765254697E+01    0.1974110360E+00    0.4643571814E+01    0.1412724820E+01
       237   -0.2809670263E+01   -0.3100086004E+01    0.7408846918E+00    0.0000000000E+00    0.1429173620E+01
       238   -0.2950784691E+01   -0.3161357091E+01    0.5080624321E+00    0.2679380099E+01    0.9467547819E+00
       239   -0.2651696500E+01   -0.3322228987E+01    0.6924962186E+00    0.5299462558E+01    0.1663068174E+01
       240   -0.2913642661E+01   -0.2722114649E+01    0.1665294599E+00    0.5363795649E+01    0.1577062665E+01
       241   -0.3015926120E+01   -0.3174002670E+01    0.5400703885E+00    0.3521737943E+01    0.1195788630E+01
       242   -0.2747148667E+01   -0.3166953096E+01    0.4976116729E+00    0.5190439880E+01    0.1402460828E+01
       243   -0.2634513325E+01   -0.3084585238E+01    0.4270901987E+00    0.5165788423E+01    0.1389893774E+01
       244   -0.2446117822E+01   -0.3001252015E+01    0.4545082026E+00    0.5166965791E+01    0.1739984529E+01
       245   -0.2244125677E+01   -0.3549083100E+01    0.8662656054E+00    0.4797703502E+01    0.1507849971E+01
       246   -0.4496304627E+01   -0.3830167027E+01    0.1172903310E+01    0.4151299201E+01    0.1641082341E+01
       247   -0.4144523246E+01   -0.3750156324E+01    0.8942870260E+00    0.7881040664E+01    0.1631264918E+01
       248   -0.2939304804E+01   -0.2839033010E+01    0.3258728836E+00    0.5950095084E+01    0.1921381502E+01
       249   -0.3020454812E+01   -0.3434023065E+01    0.8551537790E+00    0.3162550102E+01    0.1481311329E+01
       250   -0.3730503401E+01   -0.3486917125E+01    0.8335847083E+00    0.4147325394E+01    0.1444322317E+01
       251   -0.3844685223E+01   -0.3198482358E+01    0.6436901580E+00    0.3222676501E+01    0.1436453362E+01
       252   -0.2910097361E+01   -0.3120809819E+01    0.4441958190E+00    0.5245812430E+01    0.1359136096E+01
       253   -0.3003929414E+01   -0.3052229743E+01    0.3839771015E+00    0.5473088800E+01    0.1393600524E+01
