Unnamed: 0,mpid,pf_n,pf_p,formula,m_n,m_p,composition
22,mp-10341,0.92,0.0523,SrGeTeO6,0.509,8.83,"(Sr, Ge, Te, O)"
23,mp-10347,1.19,0.145,CsCa2Ta3O10,73400.0,15.2,"(Cs, Ca, Ta, O)"
24,mp-10348,0.0284,1.02,LaSc3(BO3)4,91.5,2.25,"(La, Sc, B, O)"
25,mp-10349,0.85,0.105,Na2SnTeO6,0.604,5.19,"(Na, Sn, Te, O)"
26,mp-10368,0.769,1.74,CoPSe,1.51,0.688,"(Co, P, Se)"
27,mp-10378,1.11,0.177,Cs3Sb,0.165,1.03,"(Cs, Sb)"
28,mp-10383,0.615,0.417,LaTeAs,0.121,0.166,"(La, Te, As)"
29,mp-10390,0.923,0.286,Ta2O5,2.32,3.67,"(Ta, O)"
30,mp-10392,0.955,0.177,Sr3CdPtO6,0.426,2.67,"(Sr, Cd, Pt, O)"
31,mp-10402,0.1119999999999999,1.34,TiTl2F6,25.2,1.75,"(Ti, Tl, F)"
32,mp-10408,0.8029999999999999,0.15,K2CN2,0.695,58.5,"(K, C, N)"
33,mp-10418,0.778,0.27,RbSbO2,1.38,10.8,"(Rb, Sb, O)"
34,mp-10419,0.13,0.436,Na4ReN3,14.4,39.2,"(Na, Re, N)"
35,mp-10421,1.96,1.12,RbAuC2,0.758,3.03,"(Rb, Au, C)"
36,mp-10423,1.59,0.823,KAuC2,0.586,3.14,"(K, Au, C)"
37,mp-10426,0.763,0.799,Nb2O5,1.58,2.77,"(Nb, O)"
38,mp-10444,0.935,0.307,Ca2Al2O5,0.449,2380.0,"(Ca, Al, O)"
39,mp-10461,0.972,0.125,NaSr3SbO6,0.409,3.22,"(Na, Sr, Sb, O)"
40,mp-10476,0.89,0.108,NaEr(SO4)2,0.728,102.0,"(Na, Er, S, O)"
41,mp-10488,0.629,0.975,Cs2Ti(AgS2)2,1.12,1.27,"(Cs, Ti, Ag, S)"
42,mp-10489,0.595,0.589,Cs2Ti(CuSe2)2,1.78,1.63,"(Cs, Ti, Cu, Se)"
43,mp-10509,0.907,0.124,BaGaBO3F2,0.501,20.1,"(Ba, Ga, B, O, F)"
44,mp-10517,0.248,0.156,LiScP2O7,5.6,25.6,"(Li, Sc, P, O)"
45,mp-10520,1.02,0.172,LiNdTiO4,1710.0,8.51,"(Li, Nd, Ti, O)"
46,mp-10525,1.03,0.294,NaLi2N,0.3289999999999999,1.15,"(Na, Li, N)"
47,mp-10550,1.09,0.166,SrMg2N2,0.203,1.32,"(Sr, Mg, N)"
48,mp-10552,0.795,0.526,RbBSe3,1.16,1.7,"(Rb, B, Se)"
49,mp-10553,0.539,0.187,Mg(C2N3)2,1.38,4.12,"(Mg, C, N)"
50,mp-10559,0.489,0.422,Gd3AuO6,2.88,10.8,"(Gd, Au, O)"
51,mp-10560,0.546,0.4379999999999999,Sm3AuO6,3.51,2.52,"(Sm, Au, O)"
52,mp-10616,1.54,1.21,BaLiAs,0.335,0.974,"(Ba, Li, As)"
53,mp-10620,0.6709999999999999,0.556,LiPrO2,2.76,3.67,"(Li, Pr, O)"
54,mp-10621,1.22,0.21,RbSbS2,1.21,10.2,"(Rb, Sb, S)"
55,mp-10623,2.14,2.02,ThSbRh,0.381,0.4039999999999999,"(Th, Sb, Rh)"
56,mp-10644,1.13,1.16,TaTl3Se4,1.22,1.19,"(Ta, Tl, Se)"
57,mp-10648,1.02,0.715,YbSe,0.263,0.77,"(Yb, Se)"
58,mp-10653,1.6,2.1,SrTe,0.3779999999999999,0.288,"(Sr, Te)"
59,mp-10694,0.857,0.373,ScF3,1.86,4.28,"(Sc, F)"
60,mp-1070,0.993,0.0665,CdSe,0.0819999999999999,1.24,"(Cd, Se)"
61,mp-10731,1.01,0.162,Ba2PrSbO6,0.3979999999999999,2.48,"(Ba, Pr, Sb, O)"
62,mp-10748,0.872,1.21,TaCu3S4,1.35,0.977,"(Ta, Cu, S)"
63,mp-10771,0.322,0.231,Dy4(SiS4)3,3.11,7.13,"(Dy, Si, S)"
64,mp-10778,1.44,1.01,RbPrSe2,0.596,1.55,"(Rb, Pr, Se)"
65,mp-10780,1.47,1.07,RbSmSe2,0.5820000000000001,1.57,"(Rb, Sm, Se)"
66,mp-10781,0.0135,3.88,RbGdSe2,723.0,1.57,"(Rb, Gd, Se)"
67,mp-10783,1.53,1.19,RbHoSe2,0.579,1.57,"(Rb, Ho, Se)"
68,mp-10784,1.54,1.19,RbErSe2,0.574,1.58,"(Rb, Er, Se)"
69,mp-10791,0.4429999999999999,0.0577,ErBO3,3.08,20.4,"(Er, B, O)"
70,mp-10792,0.41,0.0597,DyBO3,3.91,22.3,"(Dy, B, O)"
71,mp-10804,0.885,0.0567,NaYPO4F,0.523,12.8,"(Na, Y, P, O, F)"
72,mp-10814,0.873,0.122,SrLiBO3,0.56,6.38,"(Sr, Li, B, O)"
73,mp-10821,0.596,0.366,RbC,7.58,15.2,"(Rb, C)"
74,mp-10835,0.977,0.413,RbSm2CuS4,1.19,3.18,"(Rb, Sm, Cu, S)"
75,mp-10837,0.825,0.0207,Na2MgInF7,0.652,33.7,"(Na, Mg, In, F)"
76,mp-10838,0.223,0.126,YbNa(PS3)2,8.55,15.5,"(Yb, Na, P, S)"
77,mp-10851,0.889,0.131,SiO2,0.534,4.1,"(Si, O)"
78,mp-10913,1.12,0.0945,GeO2,0.208,6.19,"(Ge, O)"
79,mp-10918,1.49,0.872,Rb2PdC2,0.684,89.5,"(Rb, Pd, C)"
80,mp-10919,1.89,1.39,Rb2PtC2,0.684,59.2,"(Rb, Pt, C)"
81,mp-10932,1.08,0.647,ErSF,0.509,3.44,"(Er, S, F)"
82,mp-10935,0.923,0.061,NaErPO4F,0.4970000000000001,11.2,"(Na, Er, P, O, F)"
83,mp-10996,2.27,2.11,Yb(MgSb)2,0.415,0.568,"(Yb, Mg, Sb)"
84,mp-11008,0.868,0.589,BaPSe3,1.3,2.75,"(Ba, P, Se)"
85,mp-11009,0.71,0.893,CaC2(SN)2,4.59,5.47,"(Ca, C, S, N)"
86,mp-11016,0.0628,1.02,RbCd(NO2)3,31.2,1.91,"(Rb, Cd, N, O)"
87,mp-11051,2.21,3.22,NaSn,0.306,0.211,"(Na, Sn)"
88,mp-11055,1.24,0.484,CsSn,0.384,0.993,"(Cs, Sn)"
89,mp-11107,1.0,0.17,Ac2O3,0.313,1.92,"(Ac, O)"
90,mp-11114,0.625,0.7120000000000001,KCuPdSe5,2.23,2.16,"(K, Cu, Pd, Se)"
91,mp-11115,0.607,0.7609999999999999,RbCuPdSe5,2.95,2.25,"(Rb, Cu, Pd, Se)"
92,mp-11116,1.1,0.2339999999999999,CsYCdSe3,0.2789999999999999,2.66,"(Cs, Y, Cd, Se)"
93,mp-11118,1.06,0.2,CsPrCdSe3,0.303,2.66,"(Cs, Pr, Cd, Se)"
94,mp-11147,0.883,0.064,Na5CuSO2,0.53,8.71,"(Na, Cu, S, O)"
95,mp-11165,0.89,0.02,Na2MgPO4F,0.52,24.4,"(Na, Mg, P, O, F)"
96,mp-11166,0.871,0.0141,BaZnCO3F2,0.561,34.4,"(Ba, Zn, C, O, F)"
97,mp-11178,0.3289999999999999,1.35,SrCeN2,6.55,1.43,"(Sr, Ce, N)"
98,mp-11183,0.594,0.515,Pr(BO2)3,5.33,3.76,"(Pr, B, O)"
99,mp-11189,0.8909999999999999,0.0749,Li2MgSiO4,0.502,18.2,"(Li, Mg, Si, O)"
100,mp-1125,1.05,0.949,Li2S,1.11,1.34,"(Li, S)"
101,mp-11265,1.37,0.409,BaCaSn,0.481,1.13,"(Ba, Ca, Sn)"
102,mp-11321,0.599,0.4320000000000001,Y3TaO7,2.22,2.46,"(Y, Ta, O)"
103,mp-11347,0.72,0.0589,TbF3,0.8390000000000001,19.5,"(Tb, F)"
104,mp-1138,0.728,0.18,LiF,0.879,3.56,"(Li, F)"
105,mp-1154,1.15,1.48,Ho4C7,1.0,0.7659999999999999,"(Ho, C)"
106,mp-11582,1.04,0.301,LiGaSe2,0.301,1.47,"(Li, Ga, Se)"
107,mp-11603,1.0,0.467,KNd2CuS4,1.26,2.9,"(K, Nd, Cu, S)"
108,mp-11605,1.02,0.7509999999999999,Tb2KCuS4,1.38,2.19,"(Tb, K, Cu, S)"
109,mp-11623,0.917,0.1639999999999999,LaInO3,0.505,3.17,"(La, In, O)"
110,mp-11659,0.444,0.4639999999999999,BaTi(BO3)2,21.9,4.37,"(Ba, Ti, B, O)"
111,mp-11660,1.29,0.5770000000000001,Hf3N4,0.406,0.906,"(Hf, N)"
112,mp-1167,0.797,0.015,CF4,0.711,51.0,"(C, F)"
113,mp-11670,0.933,0.241,BaYSi4N7,0.475,4.26,"(Ba, Y, Si, N)"
114,mp-11677,1.26,1.05,Sr3(SiAs2)2,1.26,1.43,"(Sr, Si, As)"
115,mp-11684,0.923,0.0921,SiO2,0.487,6.09,"(Si, O)"
116,mp-11692,1.17,0.317,Ba3(SiAs2)2,0.944,1.9,"(Ba, Si, As)"
117,mp-1170,1.76,1.32,SnS2,3.25,20.6,"(Sn, S)"
118,mp-11709,0.604,0.6779999999999999,Sm(BO2)3,6.71,3.06,"(Sm, B, O)"
119,mp-11738,0.948,0.0715,Na3PS3O,0.737,9.55,"(Na, P, S, O)"
120,mp-11742,1.55,1.33,CsNdTe2,0.539,1.2,"(Cs, Nd, Te)"
121,mp-1175,0.758,0.873,SrS3,1.13,0.877,"(Sr, S)"
122,mp-11773,0.916,0.182,Nd3GaO6,0.478,6.69,"(Nd, Ga, O)"
123,mp-11793,1.19,0.537,SmCuSe2,0.488,0.8759999999999999,"(Sm, Cu, Se)"
124,mp-118,1.49,0.105,P,0.508,7.79,(P)
125,mp-11824,1.25,1.35,Ca3PN,0.4579999999999999,0.425,"(Ca, P, N)"
126,mp-11875,0.25,0.151,CO,7.39,12.2,"(C, O)"
127,mp-11887,0.162,0.255,K2U3(TeO7)2,286.0,6.84,"(K, U, Te, O)"
128,mp-11893,0.478,0.191,K2Pd(CN)4,163.0,600.0,"(K, Pd, C, N)"
129,mp-11923,0.436,0.319,Rb2TaCuS4,4.17,107.0,"(Rb, Ta, Cu, S)"
130,mp-11924,0.469,0.42,Rb2TaCuSe4,5.56,31.1,"(Rb, Ta, Cu, Se)"
131,mp-12011,0.7,1.28,TbKGeS4,37.9,12.8,"(Tb, K, Ge, S)"
132,mp-12012,0.7979999999999999,1.37,KPrGeSe4,10.4,8.91,"(K, Pr, Ge, Se)"
133,mp-12016,0.721,0.0979,Rb2SiS3,1.47,8.88,"(Rb, Si, S)"
134,mp-12022,0.736,0.129,HgB4O7,0.753,13.8,"(Hg, B, O)"
135,mp-12023,0.397,0.512,MnSi(CuS2)2,1.99,1.45,"(Mn, Si, Cu, S)"
136,mp-12027,1.39,0.622,TaTlSe3,1.17,2.05,"(Ta, Tl, Se)"
137,mp-12047,0.198,0.161,K3Na(RuO4)2,9.76,10.4,"(K, Na, Ru, O)"
138,mp-12103,0.36,0.1969999999999999,N2,2.57,10.6,(N)
139,mp-1217,1.17,0.755,KSi,0.8320000000000001,1.29,"(K, Si)"
140,mp-12171,0.884,0.0956,K6MgO4,0.503,4.65,"(K, Mg, O)"
141,mp-12181,1.36,1.29,BaSnS2,0.879,0.62,"(Ba, Sn, S)"
142,mp-12199,0.966,0.048,Hg3(PO4)2,0.445,10.1,"(Hg, P, O)"
143,mp-12236,1.08,0.0571,Er3Ga5O12,0.31,5.86,"(Er, Ga, O)"
144,mp-12237,0.8590000000000001,0.0657,HoP5O14,0.614,11.9,"(Ho, P, O)"
145,mp-12240,0.8590000000000001,0.0647,Na2LiBe2F7,0.637,14.3,"(Na, Li, Be, F)"
146,mp-12262,0.904,0.0351,CsBeF3,0.546,21.9,"(Cs, Be, F)"
147,mp-12263,0.4039999999999999,0.478,LiAuF4,6.99,3.98,"(Li, Au, F)"
148,mp-12265,0.3289999999999999,0.261,SrCuF4,4.32,6.74,"(Sr, Cu, F)"
149,mp-12266,0.352,0.358,CaCuF4,4.52,5.02,"(Ca, Cu, F)"
150,mp-12271,0.7709999999999999,0.4379999999999999,MgSeO3,1.86,2.95,"(Mg, Se, O)"
151,mp-12286,0.8859999999999999,0.186,Sr2Ta2O7,1.52,14.0,"(Sr, Ta, O)"
152,mp-12317,0.848,0.462,SrCN2,0.618,1.44,"(Sr, C, N)"
153,mp-12334,0.309,0.0853,KTl(CN)4,3.25,15.6,"(K, Tl, C, N)"
154,mp-12341,1.12,0.747,CsPrZnTe3,0.718,1.88,"(Cs, Pr, Zn, Te)"
155,mp-12355,0.758,0.0894,Sr2YTaO6,0.923,8.18,"(Sr, Y, Ta, O)"
156,mp-12362,0.8109999999999999,0.192,AgHg3SbO6,0.764,7.0,"(Ag, Hg, Sb, O)"
157,mp-12365,0.615,0.395,KThCuS3,1.37,16.3,"(K, Th, Cu, S)"
158,mp-12372,0.875,0.0686,CaSO4,0.5329999999999999,10.1,"(Ca, S, O)"
159,mp-12385,1.42,0.3720000000000001,Ba2YTaO6,0.727,2.74,"(Ba, Y, Ta, O)"
160,mp-12403,0.7759999999999999,0.00892,LiBF4,0.7659999999999999,75.3,"(Li, B, F)"
161,mp-12427,0.711,0.614,Sr2TaGaO6,1.84,2.35,"(Sr, Ta, Ga, O)"
162,mp-12431,0.905,0.0262,BaBeF4,0.535,29.0,"(Ba, Be, F)"
163,mp-12433,1.09,0.2019999999999999,NaSnN,0.205,2.24,"(Na, Sn, N)"
164,mp-12442,0.426,0.362,KAuF6,5.27,6.16,"(K, Au, F)"
165,mp-12453,1.26,0.917,HoCuS2,2.27,1.26,"(Ho, Cu, S)"
166,mp-12455,1.27,0.8440000000000001,TmCuS2,1.84,1.24,"(Tm, Cu, S)"
167,mp-12459,1.08,0.247,Ag3PS4,0.2239999999999999,1.31,"(Ag, P, S)"
168,mp-12485,0.856,0.38,NaSm3SiS7,1.14,2.17,"(Na, Sm, Si, S)"
169,mp-12488,1.33,0.818,CsErCdTe3,1.28,1.83,"(Cs, Er, Cd, Te)"
170,mp-12491,0.985,0.29,CsLaCdTe3,0.382,2.17,"(Cs, La, Cd, Te)"
171,mp-12509,1.31,1.95,YZnPO,0.895,2.07,"(Y, Zn, P, O)"
172,mp-12532,1.08,0.361,KAg2PS4,0.256,0.768,"(K, Ag, P, S)"
173,mp-12630,0.9,0.187,MgSeO4,0.56,4.96,"(Mg, Se, O)"
174,mp-12637,1.78,0.49,Ba2NdNbO6,0.687,2.5,"(Ba, Nd, Nb, O)"
175,mp-12641,1.64,0.527,Ba2HoNbO6,0.7390000000000001,2.3,"(Ba, Ho, Nb, O)"
176,mp-12644,1.58,0.542,Ba2LuNbO6,0.7659999999999999,2.23,"(Ba, Lu, Nb, O)"
177,mp-12645,0.933,0.256,LiHoO2,0.47,9.33,"(Li, Ho, O)"
178,mp-1266,1.11,0.123,Na2Se,0.245,2.22,"(Na, Se)"
179,mp-1267,0.971,0.184,NaC,0.862,5.01,"(Na, C)"
180,mp-12670,1.05,0.629,Ho2SO2,0.691,2.44,"(Ho, S, O)"
181,mp-12673,1.15,0.591,Lu2SO2,0.52,3.04,"(Lu, S, O)"
182,mp-1270,0.924,0.519,Dy2S3,0.4529999999999999,1.09,"(Dy, S)"
183,mp-1273,0.625,0.125,CsGe,1.76,8.8,"(Cs, Ge)"
184,mp-12797,0.962,0.0621,BaBe2Si2O7,0.455,9.29,"(Ba, Be, Si, O)"
185,mp-12803,0.802,0.0401,BaEr2F8,0.654,14.6,"(Ba, Er, F)"
186,mp-12829,0.807,0.0213,LiCaGaF6,0.67,31.9,"(Li, Ca, Ga, F)"
187,mp-12866,1.03,0.1889999999999999,SrSnO3,0.361,2.67,"(Sr, Sn, O)"
188,mp-12867,1.06,0.1369999999999999,SrSnO3,0.3,2.96,"(Sr, Sn, O)"
189,mp-12878,0.958,0.0474,Sr2YSbO6,0.455,9.34,"(Sr, Y, Sb, O)"
190,mp-12883,1.03,0.317,P,1.07,3.84,(P)
191,mp-12908,1.32,2.36,ScAgSe2,0.726,0.422,"(Sc, Ag, Se)"
192,mp-12910,2.08,4.84,GeS,1.59,0.344,"(Ge, S)"
193,mp-12929,0.917,0.128,SmAsO4,0.481,3.93,"(Sm, As, O)"
194,mp-12932,0.606,0.481,TbTaO4,2.08,3.11,"(Tb, Ta, O)"
195,mp-12944,0.934,0.128,HoAsO4,0.457,3.83,"(Ho, As, O)"
196,mp-12958,0.984,0.195,BaSiO3,0.441,2.14,"(Ba, Si, O)"
197,mp-13002,0.8490000000000001,0.0194,K2SiF6,0.581,28.2,"(K, Si, F)"
198,mp-13003,1.13,0.109,CdGeO3,0.1889999999999999,2.24,"(Cd, Ge, O)"
199,mp-13019,0.3279999999999999,0.27,NaLa2TaO6,6.6,5.57,"(Na, La, Ta, O)"
200,mp-13032,1.07,0.19,MgS,0.2689999999999999,1.52,"(Mg, S)"
201,mp-13038,0.789,0.192,Dy2C(NO)2,0.797,3.03,"(Dy, C, N, O)"
202,mp-13042,0.855,0.268,NaSr3TaO6,1.39,4.22,"(Na, Sr, Ta, O)"
203,mp-13061,0.92,0.6609999999999999,Y2O3,0.88,1.4,"(Y, O)"
204,mp-13065,1.19,0.667,Ho2O3,0.636,1.36,"(Ho, O)"
205,mp-13066,0.977,0.407,Er2O3,0.467,1.32,"(Er, O)"
206,mp-13067,0.951,0.4029999999999999,Tm2O3,0.4529999999999999,1.26,"(Tm, O)"
207,mp-13148,1.13,0.17,Ca3N2,0.3,3.07,"(Ca, N)"
208,mp-13151,1.28,0.85,BN,0.4539999999999999,0.861,"(B, N)"
209,mp-1317,1.45,3.61,CoSb3,0.298,0.119,"(Co, Sb)"
210,mp-13170,0.0342,1.35,KNaGdNbO5,383.0,12300.0,"(K, Na, Gd, Nb, O)"
211,mp-13189,0.899,0.513,SrLuCuS3,0.745,1.45,"(Sr, Lu, Cu, S)"
212,mp-13190,0.906,0.0416,KRb2GaF6,0.528,11.5,"(K, Rb, Ga, F)"
213,mp-13195,0.852,0.084,NdSbO4,0.5670000000000001,6.91,"(Nd, Sb, O)"
214,mp-13206,1.81,0.8340000000000001,PrZnPO,1.48,1.75,"(Pr, Zn, P, O)"
215,mp-13274,0.898,0.0277,Na4CO4,0.513,28.4,"(Na, C, O)"
216,mp-13282,0.8859999999999999,1.33,Sm(ErSe2)3,1.18,1.11,"(Sm, Er, Se)"
217,mp-13292,0.508,0.13,Yb2TbPrS6,3.31,11.9,"(Yb, Tb, Pr, S)"
218,mp-1330,1.57,0.628,AlN,0.392,0.978,"(Al, N)"
219,mp-13313,1.05,4.6,ScTlSe2,3.51,0.421,"(Sc, Tl, Se)"
220,mp-13327,0.912,0.888,NdLuSe3,0.659,0.94,"(Nd, Lu, Se)"
221,mp-13361,0.184,0.213,Cd2Cu(PO4)2,56.1,9.61,"(Cd, Cu, P, O)"
222,mp-13384,0.7290000000000001,0.374,ErAg(PSe3)2,5.92,3.97,"(Er, Ag, P, Se)"
223,mp-1340,1.08,0.248,Ga2Se3,0.17,2.47,"(Ga, Se)"
224,mp-1342,1.52,0.708,BaO,0.486,1.04,"(Ba, O)"
225,mp-13500,0.7090000000000001,0.1119999999999999,Sm3Si2BO10,0.802,1260.0,"(Sm, Si, B, O)"
226,mp-13516,0.5589999999999999,0.0312,TmAl3(BO3)4,3.01,49.4,"(Tm, Al, B, O)"
227,mp-13546,0.91,0.0336,Y2Ge2O7,0.478,20.9,"(Y, Ge, O)"
228,mp-13590,0.4320000000000001,0.244,LiB(CN)4,3.86,6.84,"(Li, B, C, N)"
229,mp-13591,0.064,0.1009999999999999,RbB(CN)4,56.8,20.7,"(Rb, B, C, N)"
230,mp-13596,0.0623,0.106,K2ZrF6,228.0,40.3,"(K, Zr, F)"
231,mp-13602,1.05,0.0371,Cd3(AsO4)2,0.292,10.6,"(Cd, As, O)"
232,mp-13603,0.904,0.0646,CdB4O7,0.617,9.11,"(Cd, B, O)"
233,mp-13610,0.8029999999999999,0.2,ZnPbF6,0.685,2.82,"(Zn, Pb, F)"
234,mp-13614,0.765,0.00743,Rb2Be3Cd2F12,0.701,72.3,"(Rb, Be, Cd, F)"
235,mp-13643,0.936,0.0267,Er2Ge2O7,0.436,23.0,"(Er, Ge, O)"
236,mp-13676,1.03,0.186,TlPO4,0.324,1.87,"(Tl, P, O)"
237,mp-13680,0.906,0.0564,BaBOF3,0.501,10.4,"(Ba, B, O, F)"
238,mp-13695,1.26,0.4,SmCuO2,0.6990000000000001,3.15,"(Sm, Cu, O)"
239,mp-137,2.64,1.19,Ge,0.16,0.418,(Ge)
240,mp-13718,1.02,0.0351,NaCd4(PO4)3,0.408,14.8,"(Na, Cd, P, O)"
241,mp-13726,1.06,0.0299,Na3SrLaZnSi6O17,0.46,33.3,"(Na, Sr, La, Zn, Si, O)"
242,mp-13743,0.958,0.0238,K3GaO3,0.433,52.7,"(K, Ga, O)"
243,mp-13755,0.861,0.00397,BaNa(PO3)3,0.537,120.0,"(Ba, Na, P, O)"
244,mp-13771,1.07,0.03,Sc2Cd3(GeO4)3,0.312,11.1,"(Sc, Cd, Ge, O)"
245,mp-13772,0.369,0.6629999999999999,Li3Pr2(BO3)3,4.02,11.0,"(Li, Pr, B, O)"
246,mp-1378,0.89,0.259,LiC,0.7809999999999999,4.05,"(Li, C)"
247,mp-13791,0.905,0.0342,BaNaNd(SiO3)3,0.4639999999999999,18.9,"(Ba, Na, Nd, Si, O)"
248,mp-13800,0.732,0.0242,Cs2NaTlF6,0.8109999999999999,24.5,"(Cs, Na, Tl, F)"
249,mp-13803,1.09,0.115,Nb2Hg2O7,0.213,2.02,"(Nb, Hg, O)"
250,mp-13816,0.936,0.0452,Cs2NaErF6,0.472,9.77,"(Cs, Na, Er, F)"
251,mp-13840,0.88,0.0809,Ho3ScO6,0.525,6.75,"(Ho, Sc, O)"
252,mp-13868,0.254,0.175,PdF4,7.98,12.1,"(Pd, F)"
253,mp-13897,0.00106,0.000131,K3UF7,2130.0,15700.0,"(K, U, F)"
254,mp-13898,0.84,0.0327,Cs2NaInF6,0.598,15.4,"(Cs, Na, In, F)"
255,mp-1392,1.28,0.984,ZnP2,0.586,3.63,"(Zn, P)"
256,mp-13925,0.92,0.0484,Cs2NaYF6,0.484,9.2,"(Cs, Na, Y, F)"
257,mp-13926,0.912,0.0733999999999999,Rb2NaYF6,0.515,6.4,"(Rb, Na, Y, F)"
258,mp-13948,0.88,0.0132,Cs2HfF6,0.54,37.5,"(Cs, Hf, F)"
259,mp-13949,1.1,0.185,Cd(GaTe2)2,0.135,0.773,"(Cd, Ga, Te)"
260,mp-13954,0.795,0.0143,Rb2GeF6,0.6940000000000001,41.0,"(Rb, Ge, F)"
261,mp-13956,1.08,0.249,Ag2PSe3,1.05,2.58,"(Ag, P, Se)"
262,mp-13973,0.307,1.0,Gd2SeO2,2.53,1.44,"(Gd, Se, O)"
263,mp-13974,1.12,0.895,Ho2SeO2,0.644,1.82,"(Ho, Se, O)"
264,mp-13975,1.25,0.944,Er2SeO2,0.605,1.93,"(Er, Se, O)"
265,mp-13981,0.863,0.0913,KPO3,0.5660000000000001,14.3,"(K, P, O)"
266,mp-13982,1.04,0.124,CdCu2GeS4,0.127,1.56,"(Cd, Cu, Ge, S)"
267,mp-13995,0.99,0.15,Hg2GeO4,0.56,9.28,"(Hg, Ge, O)"
268,mp-13998,1.04,0.0151,Na5AlO4,0.376,67.2,"(Na, Al, O)"
269,mp-14002,0.491,0.942,Ba4GeAs4,2.46,1.28,"(Ba, Ge, As)"
270,mp-14026,0.8759999999999999,0.267,Ca2Ta2O7,0.858,2.82,"(Ca, Ta, O)"
271,mp-1403,1.04,0.5529999999999999,Sm2S3,0.3989999999999999,0.8540000000000001,"(Sm, S)"
272,mp-14036,0.4039999999999999,0.0644,KRb2RhF6,3.72,23.3,"(K, Rb, Rh, F)"
273,mp-14037,0.826,0.0757,NaTl2RhF6,1.25,13.7,"(Na, Tl, Rh, F)"
274,mp-14038,0.522,0.091,Rb2NaRhF6,2.53,14.5,"(Rb, Na, Rh, F)"
275,mp-14069,1.02,0.175,CsAlO2,0.348,2.03,"(Cs, Al, O)"
276,mp-14070,0.984,0.188,RbAlO2,0.3979999999999999,2.08,"(Rb, Al, O)"
277,mp-14099,0.977,0.29,ZnAgF3,0.412,1.39,"(Zn, Ag, F)"
278,mp-14100,1.52,0.236,Cd(RhO2)2,0.568,3.65,"(Cd, Rh, O)"
279,mp-14128,0.217,0.0683,K2HfF6,10.0,35.4,"(K, Hf, F)"
280,mp-1413,1.07,2.27,P2Ru,1.0,0.369,"(P, Ru)"
281,mp-14131,0.16,0.0649,K2Pd(NO2)4,54.1,1170.0,"(K, Pd, N, O)"
282,mp-14142,0.494,1.03,TiZnO3,4.09,1.79,"(Ti, Zn, O)"
283,mp-14205,1.79,0.5429999999999999,K3Cu3As2,0.494,1.49,"(K, Cu, As)"
284,mp-14213,0.76,0.787,Sr4GeP4,1.25,1.2,"(Sr, Ge, P)"
285,mp-14215,0.584,0.8270000000000001,Ba4GeP4,2.1,1.49,"(Ba, Ge, P)"
286,mp-14232,0.8740000000000001,0.259,LiBO2,0.5710000000000001,1.92,"(Li, B, O)"
287,mp-14235,0.969,0.0373,SrGa2(SiO4)2,0.46,22.2,"(Sr, Ga, Si, O)"
288,mp-14242,1.43,0.887,Tl2GeSe3,0.705,2.41,"(Tl, Ge, Se)"
289,mp-14243,1.13,0.0435,Cd3TeO6,0.173,4.54,"(Cd, Te, O)"
290,mp-14276,0.375,0.0813,RhPb2F7,3.75,22.2,"(Rh, Pb, F)"
